@relation 'data/final_8020_etc.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R6-15,18,20-24,27-29,37-40,42-43,46-48,68-69,71-76,84-91,93-94,100,102-104,106-107,109-111,113'

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute AvgLineComment numeric
@attribute LOC_ADDED numeric
@attribute CountStmtDecl numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute WEIGHTD_AGE numeric
@attribute MaxCyclomaticModified numeric
@attribute CntDeclMethodDefault numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute PcntLackOfCohesion numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute REFACTORINGS numeric
@attribute CountSemicolon numeric
@attribute class {buggy,clean}

@data
2,63,95,6,184,0.85,164,88,4.454546,11,37,0,18,3,14,64.054878,20,0,91,3,104,0,262,65,63,7,12,107,63,0,26,5.727273,100,49,11,4,20,2,35,45,24,5,14.15,0.25,13.31,14,3.363636,64,183,14,2,4,301,76,4,0,125,clean
4,58,121,11,126,1.45,186,88,5.352941,17,79,2,16,21,25,58.220428,6,0,51,6,163,0.73,309,268,30,2,4,92,72,0,65,1.764706,84,91,2,3,8,1,32,43.5,10,3,12.9,0.87,10,25,4.647059,102,209,25,2,2,624,83,2,0,156,clean
2,22,50,1,93,0,0,29,0,1,0,2,7,9,11,0,4,0,39,3,61,0,116,105,0,1,0,35,30,0,25,0,0,0,0,4,5,1,15,75,6,3,8,0.91,8,11,0,0,79,11,1,2,245,33,2,0,56,clean
3,42,96,4,56,0.67,129,62,9.444445,9,69,1,4,12,17,27.860466,11,0,43,0,102,0.67,196,211,26,2,2,63,42,0,48,2.888889,55,85,4,2,11,1,23,39,14,2,9.74,1.08,8.4,2,7.666667,74,158,17,2,2,448,46,2,0,118,buggy
5,35,68,13,15,0.46,408,56,2.875,56,141,2,19,8,13,141.46814,12,2,52,8,82,0,166,38,144,4,1,56,35,0,31,2.571429,312,161,1,4,12,1,18,24,13,3,10.23,0.23,9.31,13,2.517857,96,124,13,3,2,233,39,2,0,90,buggy
99,973,1999,66,3,0.47,7142,1080,2.070707,297,323,31,183,146,327,100.223747,20,7,1020,105,2313,0.49,4009,759,1300,6,24,1014,1005,2,659,4.377104,6742,615,143,55,20,1,533,5.37,35,3,9.33,0.19,8.23,322,1.087542,400,3079,327,49,2,5329,1158,3,2,2120,buggy
2,3,3,3,126,0,2,9,0.333333,3,1,2,1,1,3,79,1,0,41,0,3,0,18,32,1,1,0,11,3,1,7,0.333333,1,1,0,3,1,1,3,0,1,1,3,1.78,3,3,0.333333,1,12,3,1,1,55,3,1,0,8,clean
1,6,7,2,93,0,2,13,1,2,0,3,5,2,6,82,1,0,19,0,7,0,30,47,2,1,0,16,6,0,13,1,2,2,1,2,1,1,6,0,1,1,3,1.57,3,4,0,0,20,6,1,1,89,6,1,0,13,clean
1,2,2,19,54,0,146,6,0.263889,72,11,1,2,1,2,70.664383,1,0,15,0,2,0,15,13,54,4,0,7,2,0,3,0.75,101,19,0,2,1,1,2,0,1,1,4,0.87,4,1,0.152778,45,8,2,1,1,31,2,1,2,5,clean
2,66,160,6,126,0,37,74,0.8,10,8,2,5,33,35,98.405403,6,0,48,6,185,0,326,352,6,2,4,90,86,2,67,0.6,20,8,0,2,9,1,43,88,17,3,9,1.08,8,27,0.8,17,234,35,1,1,730,107,2,0,167,clean
21,35,196,1,23,0.18,1918,103,13.177778,45,593,8,41,16,26,57.698643,6,0,180,3,226,2.38,408,37,31,2,0,94,35,0,143,0.688889,182,593,2,13,6,1,26,9,6,1,13.1,0.09,10.35,26,13.177778,1736,299,26,11,1,588,47,1,0,260,clean
2,7,9,2,93,0,37,24,8,4,32,2,5,3,5,58.648647,3,0,18,0,9,0,42,43,2,2,0,25,7,1,15,0.5,3,32,0,2,3,1,5,0,3,1,5,1.02,4,4,8,34,33,5,1,1,97,7,1,0,26,clean
1,22,166,14,18,1,1073,233,2.405406,74,122,0,4,19,20,42.905872,2,0,44,0,174,4,515,42,97,2,0,233,22,0,118,1.310811,543,178,1,3,2,1,20,0,2,1,29,0.08,23,19,1.648649,530,399,20,1,1,667,22,1,0,371,clean
14,173,335,5,48,0,371,285,1.308511,94,63,0,12,24,26,48.183289,12,0,156,6,364,0,789,114,123,3,0,256,173,2,170,1.308511,203,123,2,11,12,1,121,12.89,12,1,3.5,0.14,3.5,26,0.670213,168,620,92,10,1,1057,182,1,0,467,clean
1,13,18,4,43,0,83,26,2.833333,18,34,1,6,8,10,5.481928,3,0,43,1,20,0,67,57,17,2,0,33,13,0,18,0.944444,38,51,1,3,3,1,10,40,4,1,5,0.85,5,10,1.888889,45,44,10,1,1,142,14,1,0,30,clean
8,37,67,11,44,0,142,44,1.888889,18,33,0,8,4,4,81.232391,7,0,56,0,79,1.5,158,38,13,4,0,48,40,0,44,0.722222,47,34,0,4,7,1,20,0,7,2,12,0.24,10.5,4,1.833333,95,111,16,5,2,239,46,2,0,74,clean
5,99,317,9,74,0.11,617,200,7.139535,43,243,6,13,7,30,66.34198,12,0,135,10,374,1.57,686,103,64,4,37,224,99,0,131,1.488372,296,307,17,4,12,1,54,28.67,21,4,19.82,0.15,18.25,29,5.651163,321,517,30,3,3,907,129,3,0,420,clean
1,7,9,2,43,0,25,15,2.625,8,20,0,5,7,7,2.2,1,0,40,1,9,0,38,49,4,1,0,21,7,0,13,0.5,6,21,0,3,1,1,7,57,1,1,3,1.29,3,7,2.5,19,24,7,1,1,100,7,1,0,16,clean
1,354,667,28,93,0,883,496,0.848889,225,159,0,35,65,100,144.849381,26,0,113,0,752,0,1571,1107,197,5,31,464,371,0,149,0.875556,517,191,35,1,26,1,188,98,26,3,15,0.7,14,1,0.706667,366,1163,100,1,3,2775,393,3,0,842,clean
4,12,23,4,43,0,100,29,5,12,19,0,13,7,7,23.23,6,0,33,2,37,1.03,75,52,62,1,11,26,12,0,29,5.166667,72,60,0,2,6,1,10,39,6,1,10.18,0.69,8.64,7,1.583333,28,52,7,2,1,145,12,1,0,42,clean
3,20,35,7,128,0.33,137,36,10.375,8,64,6,8,2,11,96.291969,6,0,43,0,45,1.65,107,79,21,2,0,41,20,0,26,2.625,45,83,3,3,6,1,11,0,8,2,13.28,0.74,10.95,11,8,92,71,11,2,1,211,23,1,0,50,clean
2,49,26,0,53,0,41,22,0.441176,34,8,3,4,19,23,82.024391,10,0,83,2,28,0,67,60,179,3,2,23,49,2,16,5.264706,195,15,1,6,10,1,38,79,12,1,10,0.9,10,23,0.235294,-154,48,12,1,1,142,51,1,0,31,clean
1,22,33,2,159,0,44,29,1.176471,17,11,7,4,7,14,70.045456,2,0,27,1,34,0,86,53,20,3,2,29,22,0,27,1.176471,25,20,0,2,2,1,14,71,3,1,5,0.62,5,14,0.647059,19,62,14,1,1,162,24,1,0,39,clean
1,31,53,1,43,0,10,53,1.666667,6,0,0,15,4,9,1,7,0,22,0,54,1,136,43,12,1,1,50,31,0,26,2,12,10,5,2,7,1,13,88,7,3,14,0.32,12,2,0,-2,106,9,1,3,205,32,3,0,78,clean
22,33,65,1,110,0,172,77,4.5,10,44,1,20,31,32,83.75,2,0,188,0,85,0,191,16,64,4,0,71,33,0,33,6.4,150,45,0,14,2,1,32,0,2,1,4.68,0.08,4.59,31,4.4,22,142,32,12,1,239,33,1,2,108,clean
1,22,42,4,146,0,66,32,3.5,8,13,0,6,11,11,115.393936,4,0,24,0,43,0,98,58,42,4,0,32,22,0,15,5.25,64,28,0,2,4,1,11,0,4,2,8,0.59,8,10,1.625,2,74,11,1,2,171,22,2,0,51,clean
1,10,25,2,93,0,3,30,0.666667,3,1,4,8,6,10,62,1,0,33,1,25,0,69,67,2,1,1,33,10,1,25,0.666667,2,2,0,3,1,1,10,85,1,1,6,0.97,5,9,0.333333,1,55,10,1,1,160,10,1,0,44,clean
