@relation 'data/final_8020_etc.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R6-15,18,20-24,27-29,37-40,42-43,46-48,68-69,71-76,84-91,93-94,100,102-104,106-107,109-111,113-weka.filters.unsupervised.attribute.Remove-R4-5,7,9-11,16,25-26,32-34,47-48,56'

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute AvgLineComment numeric
@attribute CountStmtDecl numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute MaxCyclomaticModified numeric
@attribute CntDeclMethodDefault numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute PcntLackOfCohesion numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute CountSemicolon numeric
@attribute class {buggy,clean}

@data
2,63,95,0.85,88,0,18,3,14,20,0,91,3,104,0,262,65,12,107,63,0,26,11,4,20,2,35,45,24,5,14.15,0.25,13.31,14,183,14,2,4,301,76,4,125,clean
4,58,121,1.45,88,2,16,21,25,6,0,51,6,163,0.73,309,268,4,92,72,0,65,2,3,8,1,32,43.5,10,3,12.9,0.87,10,25,209,25,2,2,624,83,2,156,clean
2,22,50,0,29,2,7,9,11,4,0,39,3,61,0,116,105,0,35,30,0,25,0,4,5,1,15,75,6,3,8,0.91,8,11,79,11,1,2,245,33,2,56,clean
3,42,96,0.67,62,1,4,12,17,11,0,43,0,102,0.67,196,211,2,63,42,0,48,4,2,11,1,23,39,14,2,9.74,1.08,8.4,2,158,17,2,2,448,46,2,118,buggy
5,35,68,0.46,56,2,19,8,13,12,2,52,8,82,0,166,38,1,56,35,0,31,1,4,12,1,18,24,13,3,10.23,0.23,9.31,13,124,13,3,2,233,39,2,90,buggy
99,973,1999,0.47,1080,31,183,146,327,20,7,1020,105,2313,0.49,4009,759,24,1014,1005,2,659,143,55,20,1,533,5.37,35,3,9.33,0.19,8.23,322,3079,327,49,2,5329,1158,3,2120,buggy
2,3,3,0,9,2,1,1,3,1,0,41,0,3,0,18,32,0,11,3,1,7,0,3,1,1,3,0,1,1,3,1.78,3,3,12,3,1,1,55,3,1,8,clean
1,6,7,0,13,3,5,2,6,1,0,19,0,7,0,30,47,0,16,6,0,13,1,2,1,1,6,0,1,1,3,1.57,3,4,20,6,1,1,89,6,1,13,clean
1,2,2,0,6,1,2,1,2,1,0,15,0,2,0,15,13,0,7,2,0,3,0,2,1,1,2,0,1,1,4,0.87,4,1,8,2,1,1,31,2,1,5,clean
2,66,160,0,74,2,5,33,35,6,0,48,6,185,0,326,352,4,90,86,2,67,0,2,9,1,43,88,17,3,9,1.08,8,27,234,35,1,1,730,107,2,167,clean
21,35,196,0.18,103,8,41,16,26,6,0,180,3,226,2.38,408,37,0,94,35,0,143,2,13,6,1,26,9,6,1,13.1,0.09,10.35,26,299,26,11,1,588,47,1,260,clean
2,7,9,0,24,2,5,3,5,3,0,18,0,9,0,42,43,0,25,7,1,15,0,2,3,1,5,0,3,1,5,1.02,4,4,33,5,1,1,97,7,1,26,clean
1,22,166,1,233,0,4,19,20,2,0,44,0,174,4,515,42,0,233,22,0,118,1,3,2,1,20,0,2,1,29,0.08,23,19,399,20,1,1,667,22,1,371,clean
14,173,335,0,285,0,12,24,26,12,0,156,6,364,0,789,114,0,256,173,2,170,2,11,12,1,121,12.89,12,1,3.5,0.14,3.5,26,620,92,10,1,1057,182,1,467,clean
