@relation 'data/final_8020_etc.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R1-3,6-16,18-24,27-29,31-34,36-52,55-59,63-82,84-91,93-107,109-113'

@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute LOC_ADDED numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute WEIGHTD_AGE numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute REFACTORINGS numeric
@attribute class {buggy,clean}

@data
6,184,164,4.454546,11,37,64.054878,63,7,5.727273,100,49,3.363636,64,0,clean
11,126,186,5.352941,17,79,58.220428,30,2,1.764706,84,91,4.647059,102,0,clean
1,93,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
4,56,129,9.444445,9,69,27.860466,26,2,2.888889,55,85,7.666667,74,0,buggy
13,15,408,2.875,56,141,141.46814,144,4,2.571429,312,161,2.517857,96,0,buggy
66,3,7142,2.070707,297,323,100.223747,1300,6,4.377104,6742,615,1.087542,400,2,buggy
3,126,2,0.333333,3,1,79,1,1,0.333333,1,1,0.333333,1,0,clean
2,93,2,1,2,0,82,2,1,1,2,2,0,0,0,clean
19,54,146,0.263889,72,11,70.664383,54,4,0.75,101,19,0.152778,45,2,clean
6,126,37,0.8,10,8,98.405403,6,2,0.6,20,8,0.8,17,0,clean
1,23,1918,13.177778,45,593,57.698643,31,2,0.688889,182,593,13.177778,1736,0,clean
2,93,37,8,4,32,58.648647,2,2,0.5,3,32,8,34,0,clean
14,18,1073,2.405406,74,122,42.905872,97,2,1.310811,543,178,1.648649,530,0,clean
5,48,371,1.308511,94,63,48.183289,123,3,1.308511,203,123,0.670213,168,0,clean
4,43,83,2.833333,18,34,5.481928,17,2,0.944444,38,51,1.888889,45,0,clean
11,44,142,1.888889,18,33,81.232391,13,4,0.722222,47,34,1.833333,95,0,clean
9,74,617,7.139535,43,243,66.34198,64,4,1.488372,296,307,5.651163,321,0,clean
2,43,25,2.625,8,20,2.2,4,1,0.5,6,21,2.5,19,0,clean
28,93,883,0.848889,225,159,144.849381,197,5,0.875556,517,191,0.706667,366,0,clean
4,43,100,5,12,19,23.23,62,1,5.166667,72,60,1.583333,28,0,clean
7,128,137,10.375,8,64,96.291969,21,2,2.625,45,83,8,92,0,clean
0,53,41,0.441176,34,8,82.024391,179,3,5.264706,195,15,0.235294,-154,0,clean
2,159,44,1.176471,17,11,70.045456,20,3,1.176471,25,20,0.647059,19,0,clean
1,43,10,1.666667,6,0,1,12,1,2,12,10,0,-2,0,clean
1,110,172,4.5,10,44,83.75,64,4,6.4,150,45,4.4,22,2,clean
4,146,66,3.5,8,13,115.393936,42,4,5.25,64,28,1.625,2,0,clean
2,93,3,0.666667,3,1,62,2,1,0.666667,2,2,0.333333,1,0,clean
9,69,284,3.6,15,54,57.007042,34,3,2.266667,81,54,3.6,203,1,clean
4,126,24,3.8,5,9,113,10,1,2,20,19,1.8,4,0,clean
1,22,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
2,93,2,1,2,0,82,2,1,1,2,2,0,0,0,clean
7,170,220,1.681818,44,53,95.959091,123,5,2.795455,163,74,1.204546,57,0,clean
7,20,72,2.444444,9,12,26.625,51,2,5.666667,90,22,1.333333,-18,0,clean
7,24,2391,11.423077,52,537,34.389378,195,3,3.75,1079,594,10.326923,1312,0,clean
2,126,4,1,3,2,97,1,1,0.333333,1,3,0.666667,3,0,clean
1,110,185,4.583334,12,54,86.270271,33,3,2.75,94,55,4.5,91,2,clean
1,93,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
1,83,2,1,2,0,75,2,2,1,2,2,0,0,0,clean
0,100,27,3.25,4,13,92.555557,14,1,3.5,16,13,3.25,11,0,clean
5,100,145,4.818182,11,11,89.972412,46,1,4.181818,113,53,1,32,0,clean
1,91,20,2,4,7,55.099998,7,2,1.75,12,8,1.75,8,0,clean
1,146,49,7.25,4,2,73.204079,48,2,12,65,29,0.5,-16,1,clean
0,146,26,8,3,0,87.53846,32,2,10.666667,34,24,0,-8,1,clean
0,146,31,9.666667,3,2,87.451614,27,2,9,29,29,0.666667,2,1,clean
0,146,41,13,3,0,87.341461,68,2,22.666666,70,39,0,-29,1,clean
0,94,39,2.714286,7,8,89.974358,11,2,1.571429,22,19,1.142857,17,0,clean
0,146,46,8.5,4,10,93.608696,64,3,16,66,34,2.5,-20,1,clean
1,146,26,4.6,5,0,90.230766,38,3,7.6,42,23,0,-16,1,clean
2,146,117,7.375,8,23,91.52137,58,5,7.25,102,59,2.875,15,1,clean
4,84,62,4.285714,7,15,48.564518,15,1,2.142857,34,30,2.142857,28,0,clean
1,146,34,2.142857,7,15,105.411766,24,4,3.428572,28,15,2.142857,6,2,clean
3,82,28,8.666667,3,21,66.35714,5,1,1.666667,7,26,7,21,0,clean
1,93,106,35.333332,3,71,21,35,2,11.666667,37,106,23.666666,69,0,clean
14,132,351,3.035714,28,53,110.549858,40,3,1.428572,140,85,1.892857,211,1,clean
2,93,35,17.5,2,33,82,2,1,1,2,35,16.5,33,0,clean
2,176,21,1.666667,6,10,108.85714,7,5,1.166667,11,10,1.666667,10,0,clean
13,170,927,8.178572,56,82,113.024811,494,7,8.821428,678,458,1.464286,249,1,clean
1,93,2,1,2,2,90,0,1,0,0,2,1,2,0,clean
1,90,55,5.666667,6,10,57.527271,34,2,5.666667,35,34,1.666667,20,0,clean
4,2,119,2.416667,12,26,58.067226,28,3,2.333333,52,29,2.166667,67,1,clean
0,20,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
11,207,165,1.333333,33,34,71.315155,35,4,1.060606,111,44,1.030303,54,0,clean
0,20,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
22,47,942,4.041096,73,289,74.587051,166,6,2.273973,510,295,3.958904,432,0,clean
1,81,38,12.333333,3,1,50.026318,36,2,12,37,37,0.333333,1,0,clean
1,100,29,9,3,27,77,1,2,0.333333,1,27,9,28,0,clean
36,50,4905,2.728395,162,442,50.990826,463,6,2.858025,3257,442,2.728395,1648,1,clean
1,110,276,6.5,10,65,87.91304,28,3,2.8,96,65,6.5,180,2,clean
0,20,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
2,93,2,1,2,0,82,2,1,1,2,2,0,0,0,clean
53,24,1950,1.042553,517,93,109.087181,809,5,1.564797,1880,539,0.179884,70,0,clean
0,100,15,4.666667,3,13,76.533333,1,3,0.333333,2,14,4.333334,13,0,clean
87,67,4256,0.961397,544,492,130.788773,349,6,0.641544,2215,523,0.904412,2041,0,clean
2,93,3,1.5,2,0,82,3,1,1.5,3,3,0,0,0,clean
0,146,36,10.666667,3,2,87.777779,61,2,20.333334,63,32,0.666667,-27,1,clean
0,20,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
1,80,79,23.333334,3,64,75.746834,6,1,2,6,70,21.333334,73,0,clean
4,6,4,0.2,5,0,8.75,1,2,0.2,4,1,0,0,0,clean
2,93,25,4.25,4,17,63.52,2,1,0.5,4,17,4.25,21,0,clean
1,124,120,15.333333,6,63,71.691666,53,3,8.833333,101,92,10.5,19,2,clean
1,93,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
2,93,4,0.666667,3,2,86,0,1,0,0,2,0.666667,4,0,clean
0,103,19,2,4,7,85.157898,7,1,1.75,9,8,1.75,10,0,clean
1,81,19,3.333333,3,8,61.842106,3,1,1,4,10,2.666667,15,1,clean
1,93,1,0.5,2,0,13,1,2,0.5,1,1,0,0,0,clean
1,81,26,3.6,5,0,40.346153,53,2,10.6,69,18,0,-43,1,clean
1,93,4,2,2,3,90,1,1,0.5,1,4,1.5,3,0,clean
1,81,18,3,3,8,61,3,1,1,4,9,2.666667,14,1,clean
3,126,9,2.666667,3,4,51.888889,4,1,1.333333,5,8,1.333333,4,0,clean
2,93,2,1,2,0,82,2,1,1,2,2,0,0,0,clean
4,100,93,7.625,8,56,72.913979,6,2,0.75,23,61,7,70,0,clean
31,31,1427,2.080808,99,174,114.018921,203,4,2.050505,509,206,1.757576,918,0,clean
5,220,377,2.341463,41,95,104.334221,97,3,2.365854,149,96,2.317073,228,0,clean
36,104,1098,3.444444,99,77,138.169403,990,9,10,1904,341,0.777778,-806,2,clean
1,80,7,0.4,5,2,78.85714,14,1,2.8,16,2,0.4,-9,0,clean
26,99,1015,1.884615,52,89,101.620689,195,3,3.75,857,98,1.711538,158,0,clean
13,1,325,4.307693,26,100,155.720001,78,7,3,221,112,3.846154,104,0,buggy
3,80,44,5.666667,6,32,68,3,1,0.5,7,34,5.333334,37,0,clean
4,207,104,1.296296,27,33,106.240387,40,4,1.481481,53,35,1.222222,51,0,clean
2,158,31,0.705882,17,8,98.516129,15,3,0.882353,25,12,0.470588,6,0,clean
1,79,1,0.2,5,0,14,1,1,0.2,1,1,0,0,1,clean
21,412,2230,9.141026,78,159,106.369057,713,4,9.141026,1967,713,2.038461,263,1,clean
3,126,2,0.25,4,1,72,2,1,0.5,3,1,0.25,-1,0,clean
46,48,780,0.5,208,53,110.460259,168,2,0.807692,713,104,0.254808,67,4,clean
3,93,2,0.333333,3,0,63.5,3,1,1,5,1,0,-3,0,clean
7,126,206,7,11,57,82.072815,32,1,2.909091,91,77,5.181818,115,0,clean
2,93,20,4.25,4,17,88.349998,2,1,0.5,2,17,4.25,18,0,clean
2,126,4,1,3,2,97,1,1,0.333333,1,3,0.666667,3,0,clean
3,27,24,0.888889,9,5,47.25,4,3,0.444444,18,8,0.555556,6,0,buggy
3,205,185,2.18,50,79,72.237839,76,2,1.52,144,109,1.58,41,0,clean
12,158,177,0.43787,169,45,133.084747,29,4,0.171598,148,74,0.266272,29,0,clean
16,48,373,0.107345,354,38,95.313675,183,6,0.516949,607,38,0.107345,-234,2,clean
1,51,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
1,51,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
27,52,982,4.9,30,53,74.453156,113,1,3.766667,476,147,1.766667,506,0,clean
8,43,271,2.685714,35,33,14.546125,61,1,1.742857,74,94,0.942857,197,0,clean
2,66,17,5,3,15,35.176472,19,1,6.333334,19,15,5,-2,0,clean
22,167,1094,1.811111,90,74,127.042961,155,5,1.722222,646,163,0.822222,448,0,clean
9,147,44,1.555556,9,2,148,17,1,1.888889,56,14,0.222222,-12,0,clean
23,204,347,3.46875,32,79,156.685883,32,1,1,112,111,2.46875,235,0,clean
4,149,661,6.434783,46,177,147.709534,119,2,2.586957,264,296,3.847826,397,0,clean
8,174,87,3.111111,9,7,143.436783,21,1,2.333333,73,28,0.777778,14,0,clean
40,110,3706,5.310484,248,207,155.985703,1302,6,5.25,2716,1317,0.834677,990,0,clean
22,101,606,3.653846,26,51,129.29538,155,2,5.961538,466,95,1.961538,140,0,clean
5,18,277,1.25,52,53,146.129959,39,4,0.75,221,65,1.019231,56,0,clean
4,97,49,3.666667,6,19,59.693878,18,2,3,24,22,3.166667,25,0,clean
0,114,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
33,19,997,2.681818,88,184,136.644928,143,3,1.625,511,236,2.090909,486,0,buggy
1,133,5,0.75,4,0,121.800003,5,2,1.25,7,3,0,-2,0,clean
2,55,187,1.545455,44,68,63.278076,12,2,0.272727,47,68,1.545455,140,0,clean
12,36,1613,1.094595,148,88,59.354618,158,4,1.067568,1393,162,0.594595,220,3,clean
30,48,1988,3.397516,161,134,69.560867,774,6,4.807454,1462,547,0.832298,526,0,clean
6,38,518,4.03125,32,128,44.660233,28,3,0.875,115,129,4,403,1,clean
0,321,1,0.090909,11,0,178,1,1,0.090909,1,1,0,0,0,clean
2,83,12,0.4,10,0,93.166664,10,3,1,24,4,0,-12,0,clean
5,1,49,0.118182,110,12,101.448982,17,1,0.154545,49,13,0.109091,0,0,clean
2,434,46,1.238095,21,3,30.652174,23,4,1.095238,46,26,0.142857,0,0,clean
2,204,44,0.40678,59,8,154.77272,20,2,0.338983,32,24,0.135593,12,0,clean
0,79,18,9,2,18,36,0,2,0,0,18,9,18,0,clean
