@relation 'data/final_8020_etc.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R1-5,16-17,19,25-26,30-36,41,44-45,49-67,70,77-83,92,95-99,101,105,108,112'

@attribute metrics29 numeric
@attribute metrics28 numeric
@attribute metrics27 numeric
@attribute metrics26 numeric
@attribute metrics25 numeric
@attribute metrics24 numeric
@attribute metrics23 numeric
@attribute metrics22 numeric
@attribute metrics21 numeric
@attribute metrics20 numeric
@attribute metrics9 numeric
@attribute metrics8 numeric
@attribute metrics7 numeric
@attribute metrics6 numeric
@attribute metrics5 numeric
@attribute metrics4 numeric
@attribute metrics3 numeric
@attribute metrics2 numeric
@attribute metrics1 numeric
@attribute metrics19 numeric
@attribute metrics18 numeric
@attribute metrics16 numeric
@attribute metrics15 numeric
@attribute metrics14 numeric
@attribute metrics13 numeric
@attribute metrics12 numeric
@attribute metrics11 numeric
@attribute metrics10 numeric
@attribute metrics57 numeric
@attribute metrics56 numeric
@attribute metrics55 numeric
@attribute metrics54 numeric
@attribute metrics53 numeric
@attribute metrics52 numeric
@attribute metrics51 numeric
@attribute metrics50 numeric
@attribute metrics49 numeric
@attribute metrics48 numeric
@attribute metrics47 numeric
@attribute metrics46 numeric
@attribute metrics45 numeric
@attribute metrics44 numeric
@attribute metrics43 numeric
@attribute metrics42 numeric
@attribute metrics41 numeric
@attribute metrics40 numeric
@attribute metrics39 numeric
@attribute metrics38 numeric
@attribute metrics37 numeric
@attribute metrics36 numeric
@attribute metrics35 numeric
@attribute metrics34 numeric
@attribute metrics33 numeric
@attribute metrics32 numeric
@attribute metrics31 numeric
@attribute metrics30 numeric
@attribute class {buggy,clean}

@data
2,0,0,0,2,1,3,31806,0,0,2,0,0,23.8262,15.75,2,2,1,2,2,9,0.302019,0,99.698,32,0,123,14,1,0,0,1,0,2,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,2,0,0,0,clean
201,41,16,14,391,14,43,1915062,3830123,0,122,0,0,0.31427,1.22222,2,3,1,1,0,2,0.004483,99.9888,0.006694,4967,0,1320,2,58,8,9,10,11,52,41,52,60,52,22,40,92,206,105,75,78,0,1,1,34,5,1,4,197,6,1,0,clean
201,41,16,14,391,14,43,724,2584,248087,122,0,0,10.4043,6.5,1,28,3,14,0,2,0.004483,99.9888,0.006694,4967,0,1320,2,58,8,9,10,11,52,41,52,60,52,22,40,92,206,105,75,78,0,1,1,34,5,1,4,197,6,1,0,clean
57,2,4,3,92,13,60,132421,302705,776380,23,48,62,1.23733,2.25,2,4,1,2,18,9,0.275411,97.0109,2.71369,739,11,799,12,6,31,3,2,3,21,10,10,19,23,6,10,22,44,18,16,24,0,0,0,39,0,1,2,56,1,0,0,buggy
58,14,8,7,59,32,67,314761,629513,26159146,50,13,44,1.24133,2.33036,2,3,1,3,3,6,18.7011,79.8255,1.4734,898,4,193.444,4,8,3,2,2,4,15,10,19,18,18,11,7,26,48,14,11,14,0,1,1,10,1,1,2,56,2,0,1,buggy
97,6,4,3,206,52,560,297,299,47323,24,181,251,4.21595,3.83977,4,5,6,8,54,7,25.2217,71.185,3.59328,1724,7,426.275,8,1,146,2,1,4,59,9,12,20,61,6,7,25,163,16,13,26,0,0,0,152,0,1,3,95,1,1,0,buggy
201,41,16,14,391,14,43,0,0,0,122,0,0,1.11803,2.5,2,6,1,3,0,2,0.004483,99.9888,0.006694,4967,0,1320,2,58,8,9,10,11,52,41,52,60,52,22,40,92,206,105,75,78,0,1,1,34,5,1,4,197,6,1,0,clean
201,41,16,14,391,14,43,152015,304022,608887,122,0,0,14.9146,8.33333,0,12,2,6,0,2,0.004483,99.9888,0.006694,4967,0,1320,2,58,8,9,10,11,52,41,52,60,52,22,40,92,206,105,75,78,0,1,1,34,5,1,4,197,6,1,0,clean
94,74,15,12,198,14,82,0,2286862,0,88,0,0,0,0,0,0,0,0,66,9,10.077,89.3762,0.546787,3785,39,221,2,0,181,4,3,6,58,8,9,19,61,1,5,26,225,13,8,52,0,0,0,193,0,0,2,92,0,0,0,clean
201,41,16,14,391,14,43,46,88,0,122,0,0,2.77152,2.7931,0,48,3,24,0,2,0.004483,99.9888,0.006694,4967,0,1320,2,58,8,9,10,11,52,41,52,60,52,22,40,92,206,105,75,78,0,1,1,34,5,1,4,197,6,1,0,clean
94,74,15,12,198,14,82,0,2286862,0,88,0,0,0,0,0,0,0,0,66,9,10.077,89.3762,0.546787,3785,39,221,2,0,181,4,3,6,58,8,9,19,61,1,5,26,225,13,8,52,0,0,0,193,0,0,2,92,0,0,0,clean
201,41,16,14,391,14,43,0,0,0,122,0,0,8.11901,11.2857,0,8,3,4,0,2,0.004483,99.9888,0.006694,4967,0,1320,2,58,8,9,10,11,52,41,52,60,52,22,40,92,206,105,75,78,0,1,1,34,5,1,4,197,6,1,0,clean
94,74,15,12,198,14,82,0,2286862,0,88,0,0,0,0,0,0,0,0,66,9,10.077,89.3762,0.546787,3785,39,221,2,0,181,4,3,6,58,8,9,19,61,1,5,26,225,13,8,52,0,0,0,193,0,0,2,92,0,0,0,clean
56,3213,46,46,113,3,74,1618923,1618923,6873,3196,0,0,0,2,0,2,0,1,39,4053,1.28617,98.4106,0.30319,14676,17,79,2,0,133,1,1,0,47,2,2,7,47,4,2,5,3389,9,11,8,0,0,0,136,0,0,0,57,0,1,0,clean
168,5,4,3,160,20,129,0,58816,0,19,710,289,0,0,0,0,0,0,76,4,23.8509,76.1477,0.001422,5588,50,152.667,5,0,601,1,0,3,102,6,24,38,105,21,4,40,145,6,6,15,0,0,0,605,1,1,2,166,1,0,0,clean
4,0,0,0,3,3,4,2976704,2973412,0,3,0,4,0.357673,1.40625,2,2,1,1,3,2,66.5123,30.8642,2.62346,39,0,0,1,3,0,0,0,0,0,1,3,1,0,3,1,0,2,0,1,0,0,0,0,0,0,0,0,5,0,0,0,clean
56,3213,46,46,113,3,74,3066184,3066184,6873,3196,0,0,0,2,0,2,0,1,39,4053,1.28617,98.4106,0.30319,14676,17,79,2,0,133,1,1,0,47,2,2,7,47,4,2,5,3389,9,11,8,0,0,0,136,0,0,0,57,0,1,0,clean
168,5,4,3,160,20,129,0,58816,0,19,710,289,0,0,0,0,0,0,76,4,23.8509,76.1477,0.001422,5588,50,152.667,5,0,601,1,0,3,102,6,24,38,105,21,4,40,145,6,6,15,0,0,0,605,1,1,2,166,1,0,0,clean
56,3213,46,46,113,3,74,0,3066189,6873,3196,0,0,0,0,0,2,0,0,39,4053,1.28617,98.4106,0.30319,14676,17,79,2,0,133,1,1,0,47,2,2,7,47,4,2,5,3389,9,11,8,0,0,0,136,0,0,0,57,0,1,0,clean
168,5,4,3,160,20,129,0,58816,0,19,710,289,0,0,0,0,0,0,76,4,23.8509,76.1477,0.001422,5588,50,152.667,5,0,601,1,0,3,102,6,24,38,105,21,4,40,145,6,6,15,0,0,0,605,1,1,2,166,1,0,0,clean
4,0,0,0,3,3,4,3063242,3146475,14835622,3,0,4,0.5,2.625,0,2,1,1,3,2,66.5123,30.8642,2.62346,39,0,0,1,3,0,0,0,0,0,1,3,1,0,3,1,0,2,0,1,0,0,0,0,0,0,0,0,5,0,0,0,clean
