@relation 'data/final_8020_mylyn.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R6-15,18,20-24,27-29,37-40,42-43,46-48,68-69,71-76,84-91,93-94,100,102-104,106-107,109-111,113'

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute AvgLineComment numeric
@attribute LOC_ADDED numeric
@attribute CountStmtDecl numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute WEIGHTD_AGE numeric
@attribute MaxCyclomaticModified numeric
@attribute CntDeclMethodDefault numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute PcntLackOfCohesion numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute REFACTORINGS numeric
@attribute CountSemicolon numeric
@attribute class {buggy,clean}

@data
1,25,34,10,142,3,0,46,0,17,0,4,11,2,6,0,10,0,110,0,41,0,116,36,0,2,0,49,25,0,12,0,0,0,0,4,10,2,13,0,11,4,17,0.31,14,6,0,0,80,6,1,4,163,26,4,0,51,clean
4,27,43,3,45,0,0,51,0,6,0,0,14,16,18,0,3,0,44,4,46,0,128,58,0,1,4,53,27,0,33,0,0,0,2,2,3,1,18,71,4,1,5.05,0.45,5.05,8,0,0,94,18,2,1,216,28,1,0,65,clean
1,5,11,5,3,1,18,11,0.625,8,4,0,7,3,3,7.777778,3,0,16,1,16,0,34,16,2,1,0,12,8,0,8,0.25,7,5,0,2,6,2,8,33,6,2,8,0.47,8,3,0.5,11,22,3,1,1,56,8,2,0,16,clean
3,9,20,4,59,0.25,8,25,1,5,4,1,12,5,6,39.25,2,0,55,2,25,0,60,15,1,2,0,25,9,0,11,0.2,4,5,0,3,2,1,6,25,2,1,6.98,0.25,6.73,6,0.8,4,45,6,2,1,86,9,1,0,35,clean
1,1,1,2,37,0,23,22,5,4,20,0,2,0,1,14.304348,1,0,14,0,1,0,27,12,1,1,18,23,1,0,21,0.25,1,20,1,2,1,1,1,100,1,1,2,0.44,2,1,5,22,23,1,1,1,59,1,1,0,21,clean
1,31,55,7,47,0,0,40,0,9,0,1,8,11,15,0,5,0,45,1,56,0,122,21,0,3,4,37,31,0,26,0,0,0,3,2,5,1,24,93,5,2,7,0.17,7,14,0,0,95,15,1,2,168,32,2,1,61,clean
1,2,24,6,24,0,0,34,0,16,0,0,20,2,2,0,1,0,15,0,25,4,64,15,0,3,0,36,2,0,14,0,0,0,0,2,1,1,2,0,1,1,26,0.23,22,2,0,0,58,2,1,1,93,2,1,0,55,clean
3,8,19,4,62,0.25,17,23,1.5,6,6,1,13,5,6,19.529411,2,0,55,2,23,0,55,15,3,2,0,23,8,0,11,0.5,7,9,0,3,2,1,6,20,2,1,6.24,0.27,5.98,6,1,10,42,6,2,1,81,8,1,0,33,clean
1,40,86,0,140,1,0,85,0,1,0,1,17,4,12,0,13,0,47,0,87,0,198,61,0,1,0,70,40,0,33,0,0,0,7,2,13,1,12,0,13,3,16,0.31,15,12,0,0,171,12,1,3,292,40,3,0,145,clean
1,3,20,13,120,0,0,41,0,40,0,2,14,1,3,0,1,0,29,10,20,2,73,13,0,2,0,49,3,0,24,0,0,0,0,4,1,1,3,46,1,1,14,0.18,12,3,0,0,61,3,1,1,110,3,1,2,57,clean
