@relation 'data/final_8020_mylyn.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R1-3,6-16,18-24,27-29,31-34,36-52,55-59,63-82,84-91,93-107,109-113'

@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute LOC_ADDED numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute WEIGHTD_AGE numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute REFACTORINGS numeric
@attribute class {buggy,clean}

@data
10,142,0,0,17,0,0,0,2,0,0,0,0,0,0,clean
3,45,0,0,6,0,0,0,1,0,0,0,0,0,0,clean
5,3,18,0.625,8,4,7.777778,2,1,0.25,7,5,0.5,11,0,clean
4,59,8,1,5,4,39.25,1,2,0.2,4,5,0.8,4,0,clean
2,37,23,5,4,20,14.304348,1,1,0.25,1,20,5,22,0,clean
7,47,0,0,9,0,0,0,3,0,0,0,0,0,1,clean
6,24,0,0,16,0,0,0,3,0,0,0,0,0,0,clean
4,62,17,1.5,6,6,19.529411,3,2,0.5,7,9,1,10,0,clean
0,140,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
13,120,0,0,40,0,0,0,2,0,0,0,0,0,2,clean
0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
0,140,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
10,153,0,0,14,0,0,0,3,0,0,0,0,0,0,clean
2,37,113,27.75,4,108,2.247788,3,1,0.75,5,111,27,108,0,clean
0,140,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
9,24,0,0,15,0,0,0,2,0,0,0,0,0,0,clean
1,27,56,18.333334,3,28,2.053571,27,1,9,28,55,9.333333,28,0,clean
0,140,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
9,77,109,2.285714,14,32,40.21101,11,2,0.785714,31,32,2.285714,78,0,clean
0,140,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
0,140,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
0,140,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
0,140,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
3,54,0,0,4,0,0,0,2,0,0,0,0,0,0,clean
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
0,140,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
0,140,1,0.5,2,0,140,1,1,0.5,1,1,0,0,0,clean
4,57,0,0,4,0,0,0,2,0,0,0,0,0,0,clean
3,24,0,0,9,0,0,0,2,0,0,0,0,0,0,clean
2,55,0,0,3,0,0,0,2,0,0,0,0,0,0,clean
16,144,0,0,48,0,0,0,2,0,0,0,0,0,3,clean
3,56,53,3.857143,7,27,38.018867,14,2,2,17,27,3.857143,36,0,clean
3,24,0,0,11,0,0,0,4,0,0,0,0,0,0,clean
1,42,60,10.6,5,49,31.383333,4,1,0.8,5,53,9.8,55,0,clean
2,49,0,0,4,0,0,0,2,0,0,0,0,0,0,clean
2,20,0,0,4,0,0,0,2,0,0,0,0,0,0,clean
15,57,0,0,34,0,0,0,3,0,0,0,0,0,1,clean
5,64,0,0,11,0,0,0,2,0,0,0,0,0,0,clean
6,47,0,0,14,0,0,0,3,0,0,0,0,0,0,clean
0,140,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
10,128,0,0,15,0,0,0,2,0,0,0,0,0,2,clean
17,47,0,0,29,0,0,0,2,0,0,0,0,0,2,clean
0,140,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
26,115,0,0,47,0,0,0,3,0,0,0,0,0,0,buggy
3,65,0,0,5,0,0,0,2,0,0,0,0,0,0,buggy
1,30,50,5,5,25,26.5,4,1,0.8,4,25,5,46,0,clean
8,77,0,0,26,0,0,0,4,0,0,0,0,0,0,clean
5,113,0,0,11,0,0,0,3,0,0,0,0,0,0,buggy
11,77,0,0,16,0,0,0,4,0,0,0,0,0,0,clean
6,24,0,0,14,0,0,0,3,0,0,0,0,0,0,clean
1,66,0,0,2,0,0,0,1,0,0,0,0,0,0,clean
11,90,0,0,27,0,0,0,2,0,0,0,0,0,0,clean
1,50,2,0.333333,3,1,32.5,1,2,0.333333,1,1,0.333333,1,0,clean
7,163,0,0,21,0,0,0,3,0,0,0,0,0,2,buggy
6,67,0,0,26,0,0,0,3,0,0,0,0,0,0,buggy
16,131,0,0,48,0,0,0,3,0,0,0,0,0,0,clean
8,163,0,0,14,0,0,0,2,0,0,0,0,0,1,clean
6,72,0,0,9,0,0,0,2,0,0,0,0,0,0,clean
13,116,0,0,25,0,0,0,3,0,0,0,0,0,1,clean
11,113,0,0,25,0,0,0,2,0,0,0,0,0,1,clean
3,56,21,2.333333,6,10,51,4,2,0.666667,9,14,1.666667,12,0,clean
2,47,2,0.333333,3,0,40.5,1,1,0.333333,2,1,0,0,0,clean
7,117,202,6.461538,13,84,69.856438,38,4,2.923077,102,84,6.461538,100,0,clean
2,47,5,1.333333,3,0,42,4,1,1.333333,5,4,0,0,0,clean
4,47,67,2.357143,14,11,37.805969,30,1,2.142857,43,33,0.785714,24,0,buggy
1,47,2,1,2,0,43,2,1,1,2,2,0,0,0,clean
2,47,3,0.666667,3,0,45.666668,2,1,0.666667,3,2,0,0,0,clean
10,13,0,0,26,0,0,0,4,0,0,0,0,0,0,clean
12,126,0,0,25,0,0,0,4,0,0,0,0,0,2,clean
8,68,0,0,17,0,0,0,3,0,0,0,0,0,0,clean
23,120,0,0,52,0,0,0,3,0,0,0,0,0,2,clean
20,174,0,0,56,0,0,0,4,0,0,0,0,0,2,buggy
19,120,0,0,36,0,0,0,2,0,0,0,0,0,1,clean
0,31,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
1,31,53,11,3,0,22.283018,33,1,11,54,33,0,-1,0,clean
3,116,0,0,6,0,0,0,2,0,0,0,0,0,0,clean
0,31,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
6,72,0,0,9,0,0,0,2,0,0,0,0,0,0,clean
4,56,155,6,9,53,34.341934,22,2,2.444444,45,54,5.888889,110,0,clean
9,177,0,0,31,0,0,0,2,0,0,0,0,0,1,clean
23,24,149,0.244444,90,5,137.167786,33,5,0.366667,169,22,0.055556,-20,3,clean
21,24,0,0,62,0,0,0,2,0,0,0,0,0,2,clean
