@relation data/final_8020_mylyn.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute metrics29 numeric
@attribute metrics28 numeric
@attribute metrics27 numeric
@attribute metrics26 numeric
@attribute metrics25 numeric
@attribute metrics24 numeric
@attribute metrics23 numeric
@attribute metrics22 numeric
@attribute metrics21 numeric
@attribute metrics20 numeric
@attribute AvgLineComment numeric
@attribute LOC_ADDED numeric
@attribute metrics9 numeric
@attribute CountStmtDecl numeric
@attribute metrics8 numeric
@attribute metrics7 numeric
@attribute metrics6 numeric
@attribute metrics5 numeric
@attribute metrics4 numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute metrics3 numeric
@attribute metrics2 numeric
@attribute metrics1 numeric
@attribute MAX_CODECHURN numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute WEIGHTD_AGE numeric
@attribute MaxCyclomaticModified numeric
@attribute metrics19 numeric
@attribute metrics18 numeric
@attribute metrics16 numeric
@attribute metrics15 numeric
@attribute CntDeclMethodDefault numeric
@attribute metrics14 numeric
@attribute metrics13 numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute metrics12 numeric
@attribute metrics11 numeric
@attribute metrics10 numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute metrics57 numeric
@attribute metrics56 numeric
@attribute PcntLackOfCohesion numeric
@attribute metrics55 numeric
@attribute metrics54 numeric
@attribute metrics53 numeric
@attribute metrics52 numeric
@attribute metrics51 numeric
@attribute metrics50 numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute AVE_CODECHURN numeric
@attribute metrics49 numeric
@attribute metrics48 numeric
@attribute metrics47 numeric
@attribute metrics46 numeric
@attribute metrics45 numeric
@attribute metrics44 numeric
@attribute metrics43 numeric
@attribute metrics42 numeric
@attribute CODECHURN numeric
@attribute metrics41 numeric
@attribute metrics40 numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute metrics39 numeric
@attribute SumCyclomaticStrict numeric
@attribute metrics38 numeric
@attribute metrics37 numeric
@attribute metrics36 numeric
@attribute AvgCyclomatic numeric
@attribute metrics35 numeric
@attribute metrics34 numeric
@attribute REFACTORINGS numeric
@attribute metrics33 numeric
@attribute metrics32 numeric
@attribute metrics31 numeric
@attribute CountSemicolon numeric
@attribute metrics30 numeric
@attribute class {buggy,clean}

@data
1,25,34,10,142,65,4,4,4,83,36,50,41153,82129,3715235,3,0,41,46,0,0,17.9282,9.74315,2,0,17,2,1,3,0,4,11,2,6,0,10,4,5,11.7554,67.2599,0,20.9847,1148,110,0,35,1205.7,23,41,0,116,36,0,2,0,49,25,0,12,0,0,0,0,4,10,2,13,17,3,0,3,3,2,19,11,16,11,4,17,0.31,14,6,0,18,22,9,9,25,49,17,13,0,17,0,80,6,1,4,163,0,26,0,10,0,4,0,1,0,63,0,0,51,0,clean
4,27,43,3,45,55,4,3,2,85,20,54,0,1618923,6873,0,0,15,51,99,178,0,0,0,0,6,0,0,0,0,0,14,16,18,0,3,46,11,40.5389,57.2842,0,2.17681,1323,44,4,12,827.8,30,46,0,128,58,0,1,4,53,27,0,33,0,0,0,2,2,3,1,18,0,56,71,1,1,3,24,4,10,4,1,5.05,0.45,5.05,8,0,16,24,7,4,19,69,8,6,0,11,0,94,18,2,1,216,0,28,0,60,0,1,0,1,0,54,0,0,65,0,clean
1,5,11,5,3,117,5,4,2,233,21,222,0,2089288,37,1,18,24,11,433,278,0,0,0,0.625,8,0,0,0,4,0,7,3,3,7.777778,3,60,17,4.86383,56.531,0,38.6052,4735,16,1,2,1080.5,13,16,0,34,16,2,1,0,12,8,0,8,0.25,7,5,0,2,6,2,8,0,460,33,1,3,4,80,7,10,6,2,8,0.47,8,3,0.5,21,81,7,4,27,196,14,12,11,22,0,22,3,1,1,56,0,8,0,466,1,2,1,2,0,115,1,0,16,0,clean
3,9,20,4,59,142,3,3,1,272,11,222,0,2089288,37,0.25,8,26,25,822,449,0,0,0,1,5,0,0,0,4,1,12,5,6,39.25,2,61,4,1.68594,21.8085,0,76.5056,6344,55,2,3,2001.5,20,25,0,60,15,1,2,0,25,9,0,11,0.2,4,5,0,3,2,1,6,0,694,25,1,4,3,113,3,4,2,1,6.98,0.25,6.73,6,0.8,25,110,4,4,27,233,13,11,4,22,0,45,6,2,1,86,0,9,0,701,2,1,2,3,0,139,3,0,35,1,clean
1,1,1,2,37,150,3,2,1,289,11,222,0,2089288,37,0,23,25,22,820,496,0,0,0,5,4,0,0,0,20,0,2,0,1,14.304348,1,82,4,6.07146,16.6951,0,77.2335,6414,14,0,6,1983,20,1,0,27,12,1,1,18,23,1,0,21,0.25,1,20,1,2,1,1,1,0,676,100,1,3,2,128,3,3,1,1,2,0.44,2,1,5,17,126,3,3,20,263,9,8,22,17,0,23,1,1,1,59,0,1,0,680,2,1,1,2,0,148,2,0,21,0,clean
1,31,55,7,47,21,1,1,0,36,5,12,0,728610,0,0,0,15,40,24,44,0,0,0,0,9,0,0,0,0,1,8,11,15,0,5,11,4,7.31905,66.8083,0,25.8727,427,45,1,14,4486,25,56,0,122,21,0,3,4,37,31,0,26,0,0,0,3,2,5,1,24,0,4,93,0,1,0,4,3,7,5,2,7,0.17,7,14,0,6,6,4,1,10,18,8,7,0,5,0,95,15,1,2,168,0,32,0,5,0,2,0,1,1,20,0,1,61,0,clean
1,2,24,6,24,55,1,2,1,74,5,17,1129518,2256631,5749279,0,0,35,34,28,65,42.7941,23.5347,2,0,16,2,2,2,0,0,20,2,2,0,1,5,7,6.95045,89.9919,0,3.05769,978,15,0,6,4.5,4,25,4,64,15,0,3,0,36,2,0,14,0,0,0,0,2,1,1,2,21,2,0,2,2,2,21,13,13,1,1,26,0.23,22,2,0,9,22,7,12,16,28,18,13,0,18,0,58,2,1,1,93,0,2,0,8,0,1,1,2,0,53,1,0,55,0,clean
3,8,19,4,62,120,3,2,1,223,11,222,0,2089288,37,0.25,17,22,23,616,379,0,0,0,1.5,6,0,0,0,6,1,13,5,6,19.529411,2,62,5,6.53092,35.2935,0,58.1756,4917,55,2,5,1487.5,15,23,0,55,15,3,2,0,23,8,0,11,0.5,7,9,0,3,2,1,6,0,507,20,1,2,2,98,4,5,2,1,6.24,0.27,5.98,6,1,15,97,4,3,17,199,8,7,10,14,0,42,6,2,1,81,0,8,0,510,1,1,1,2,0,118,2,0,33,0,clean
1,40,86,0,140,90,4,3,1,77,14,25,862833,862984,1138,1,0,30,85,9,17,8.41305,7.88258,2,0,1,4,6,7,0,1,17,4,12,0,13,1,4,22.3363,77.2729,0,0.390746,1341,47,0,1,131.25,4,87,0,198,61,0,1,0,70,40,0,33,0,0,0,7,2,13,1,12,18,3,0,2,4,4,25,13,27,13,3,16,0.31,15,12,0,24,27,23,9,31,33,19,17,0,15,0,171,12,1,3,292,0,40,0,11,0,3,1,2,0,87,1,0,145,0,clean
1,3,20,13,120,65,1,0,0,63,5,10,71351,285307,0,0,0,35,41,27,39,0.812843,1.75,2,0,40,2,2,2,0,2,14,1,3,0,1,7,3,8.44083,91.1292,0,0.42998,1035,29,10,0,4,2,20,2,73,13,0,2,0,49,3,0,24,0,0,0,0,4,1,1,3,26,4,46,2,3,1,28,12,14,1,1,14,0.18,12,3,0,12,28,7,12,20,19,17,10,0,17,0,61,3,1,1,110,0,3,0,11,0,1,1,1,2,63,1,0,57,0,clean
