@relation 'data/final_8020_mylyn.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R1-5,16-17,19,25-26,30-36,41,44-45,49-67,70,77-83,92,95-99,101,105,108,112'

@attribute metrics29 numeric
@attribute metrics28 numeric
@attribute metrics27 numeric
@attribute metrics26 numeric
@attribute metrics25 numeric
@attribute metrics24 numeric
@attribute metrics23 numeric
@attribute metrics22 numeric
@attribute metrics21 numeric
@attribute metrics20 numeric
@attribute metrics9 numeric
@attribute metrics8 numeric
@attribute metrics7 numeric
@attribute metrics6 numeric
@attribute metrics5 numeric
@attribute metrics4 numeric
@attribute metrics3 numeric
@attribute metrics2 numeric
@attribute metrics1 numeric
@attribute metrics19 numeric
@attribute metrics18 numeric
@attribute metrics16 numeric
@attribute metrics15 numeric
@attribute metrics14 numeric
@attribute metrics13 numeric
@attribute metrics12 numeric
@attribute metrics11 numeric
@attribute metrics10 numeric
@attribute metrics57 numeric
@attribute metrics56 numeric
@attribute metrics55 numeric
@attribute metrics54 numeric
@attribute metrics53 numeric
@attribute metrics52 numeric
@attribute metrics51 numeric
@attribute metrics50 numeric
@attribute metrics49 numeric
@attribute metrics48 numeric
@attribute metrics47 numeric
@attribute metrics46 numeric
@attribute metrics45 numeric
@attribute metrics44 numeric
@attribute metrics43 numeric
@attribute metrics42 numeric
@attribute metrics41 numeric
@attribute metrics40 numeric
@attribute metrics39 numeric
@attribute metrics38 numeric
@attribute metrics37 numeric
@attribute metrics36 numeric
@attribute metrics35 numeric
@attribute metrics34 numeric
@attribute metrics33 numeric
@attribute metrics32 numeric
@attribute metrics31 numeric
@attribute metrics30 numeric
@attribute class {buggy,clean}

@data
65,4,4,4,83,36,50,41153,82129,3715235,41,0,0,17.9282,9.74315,2,2,1,3,4,5,11.7554,67.2599,20.9847,1148,35,1205.7,23,17,3,3,3,2,19,11,16,18,22,9,9,25,49,17,13,17,0,0,0,10,0,0,1,63,0,0,0,clean
55,4,3,2,85,20,54,0,1618923,6873,15,99,178,0,0,0,0,0,0,46,11,40.5389,57.2842,2.17681,1323,12,827.8,30,0,56,1,1,3,24,4,10,16,24,7,4,19,69,8,6,11,0,0,0,60,0,0,1,54,0,0,0,clean
117,5,4,2,233,21,222,0,2089288,37,24,433,278,0,0,0,0,0,0,60,17,4.86383,56.531,38.6052,4735,2,1080.5,13,0,460,1,3,4,80,7,10,21,81,7,4,27,196,14,12,22,0,0,0,466,1,1,2,115,1,0,0,clean
142,3,3,1,272,11,222,0,2089288,37,26,822,449,0,0,0,0,0,0,61,4,1.68594,21.8085,76.5056,6344,3,2001.5,20,0,694,1,4,3,113,3,4,25,110,4,4,27,233,13,11,22,0,0,0,701,2,2,3,139,3,0,1,clean
150,3,2,1,289,11,222,0,2089288,37,25,820,496,0,0,0,0,0,0,82,4,6.07146,16.6951,77.2335,6414,6,1983,20,0,676,1,3,2,128,3,3,17,126,3,3,20,263,9,8,17,0,0,0,680,2,1,2,148,2,0,0,clean
21,1,1,0,36,5,12,0,728610,0,15,24,44,0,0,0,0,0,0,11,4,7.31905,66.8083,25.8727,427,14,4486,25,0,4,0,1,0,4,3,7,6,6,4,1,10,18,8,7,5,0,0,0,5,0,0,1,20,0,1,0,clean
55,1,2,1,74,5,17,1129518,2256631,5749279,35,28,65,42.7941,23.5347,2,2,2,2,5,7,6.95045,89.9919,3.05769,978,6,4.5,4,21,2,2,2,2,21,13,13,9,22,7,12,16,28,18,13,18,0,0,0,8,0,1,2,53,1,0,0,clean
120,3,2,1,223,11,222,0,2089288,37,22,616,379,0,0,0,0,0,0,62,5,6.53092,35.2935,58.1756,4917,5,1487.5,15,0,507,1,2,2,98,4,5,15,97,4,3,17,199,8,7,14,0,0,0,510,1,1,2,118,2,0,0,clean
90,4,3,1,77,14,25,862833,862984,1138,30,9,17,8.41305,7.88258,2,4,6,7,1,4,22.3363,77.2729,0.390746,1341,1,131.25,4,18,3,2,4,4,25,13,27,24,27,23,9,31,33,19,17,15,0,0,0,11,0,1,2,87,1,0,0,clean
65,1,0,0,63,5,10,71351,285307,0,35,27,39,0.812843,1.75,2,2,2,2,7,3,8.44083,91.1292,0.42998,1035,0,4,2,26,4,2,3,1,28,12,14,12,28,7,12,20,19,17,10,17,0,0,0,11,0,1,1,63,1,0,0,clean
