@relation 'data/final_8020_team.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R6-15,18,20-24,27-29,37-40,42-43,46-48,68-69,71-76,84-91,93-94,100,102-104,106-107,109-111,113'

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute AvgLineComment numeric
@attribute LOC_ADDED numeric
@attribute CountStmtDecl numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute WEIGHTD_AGE numeric
@attribute MaxCyclomaticModified numeric
@attribute CntDeclMethodDefault numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute PcntLackOfCohesion numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute REFACTORINGS numeric
@attribute CountSemicolon numeric
@attribute class {buggy,clean}

@data
5,22,64,6,212,0,50,52,0.4,50,11,2,8,9,16,161.179993,3,0,42,4,93,0,172,46,9,2,0,55,22,0,33,0.18,15,20,5,3,3,1,16,45.5,3,1,9.33,0.27,8.67,15,0.22,35,116,16,2,1,249,23,1,0,93,clean
2,12,30,1,197,0,11,30,0.166667,42,7,4,12,5,10,188.363632,3,0,44,2,36,0,79,51,2,1,4,30,15,0,17,0.047619,2,7,1,3,6,1,10,83,7,1,6,0.65,6,10,0.166667,9,60,10,1,1,147,16,1,0,47,buggy
2,10,21,1,212,0,25,22,0.322581,31,1,0,14,4,4,137.479996,7,0,17,1,23,0,57,13,34,3,0,24,10,0,7,1.096774,59,10,0,2,7,2,8,50,7,2,10,0.23,10,4,0.032258,-34,43,4,1,2,76,10,2,0,33,clean
11,74,316,4,30,1.48,142,189,0.764706,68,42,9,22,44,60,172.788727,3,0,138,0,669,0.99,930,281,54,1,0,187,74,0,191,0.794118,102,52,7,7,3,1,60,0,3,1,12.48,0.3,10.01,59,0.617647,40,505,60,6,1,1381,83,1,1,433,clean
4,56,110,3,150,0,323,72,24.6,10,218,0,11,17,25,147.755417,5,0,58,2,123,0,245,69,141,1,0,74,60,0,31,14.1,250,246,8,2,9,1,40,76,9,2,9,0.28,8,17,21.8,73,182,25,1,2,345,72,2,0,125,buggy
1,2,4,2,272,0,21,14,1.857143,7,1,1,6,0,1,139.523804,2,0,14,0,4,0,20,14,12,2,0,14,2,0,4,1.714286,23,13,0,2,2,1,1,0,2,2,10,0.7,10,1,0.142857,-2,18,1,1,2,38,2,2,0,15,clean
1,3,5,1,205,0,4,17,0.033898,59,0,0,6,2,2,173.5,2,0,88,0,5,1,26,18,2,1,0,17,3,0,8,0.033898,5,2,0,4,2,1,2,0,3,2,10,0.69,8,2,0,-1,22,2,1,1,52,4,1,0,18,clean
1,3,9,0,288,0,8,11,0.090909,22,1,0,4,3,3,173,1,0,16,0,9,0,24,11,2,1,0,11,3,0,5,0.090909,7,2,0,2,1,1,3,0,1,1,5,0.46,5,2,0.045455,1,20,3,1,1,40,3,1,1,16,clean
2,58,95,3,212,0,65,80,0.68,50,32,0,6,4,4,144.446152,5,0,17,0,104,0,234,250,5,2,0,75,58,0,47,0.1,18,34,0,1,5,1,43,0,5,1,3,1.07,3,4,0.64,47,175,37,2,1,529,59,1,1,117,buggy
7,21,71,2,212,0.46,149,47,2.962963,27,20,0,18,9,12,132.651001,6,0,92,6,84,0.54,148,29,92,3,0,44,21,0,25,3.407408,178,80,3,7,6,1,16,19.75,6,1,12.26,0.2,11.17,11,0.740741,-29,118,12,4,1,196,22,1,0,96,clean
