@relation 'data/final_8020_team.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R6-15,18,20-24,27-29,37-40,42-43,46-48,68-69,71-76,84-91,93-94,100,102-104,106-107,109-111,113-weka.filters.unsupervised.attribute.Remove-R4-5,7,9-11,16,25-26,32-34,47-48,56'

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute AvgLineComment numeric
@attribute CountStmtDecl numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute MaxCyclomaticModified numeric
@attribute CntDeclMethodDefault numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute PcntLackOfCohesion numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute CountSemicolon numeric
@attribute class {buggy,clean}

@data
5,22,64,0,52,2,8,9,16,3,0,42,4,93,0,172,46,0,55,22,0,33,5,3,3,1,16,45.5,3,1,9.33,0.27,8.67,15,116,16,2,1,249,23,1,93,clean
2,12,30,0,30,4,12,5,10,3,0,44,2,36,0,79,51,4,30,15,0,17,1,3,6,1,10,83,7,1,6,0.65,6,10,60,10,1,1,147,16,1,47,buggy
2,10,21,0,22,0,14,4,4,7,0,17,1,23,0,57,13,0,24,10,0,7,0,2,7,2,8,50,7,2,10,0.23,10,4,43,4,1,2,76,10,2,33,clean
11,74,316,1.48,189,9,22,44,60,3,0,138,0,669,0.99,930,281,0,187,74,0,191,7,7,3,1,60,0,3,1,12.48,0.3,10.01,59,505,60,6,1,1381,83,1,433,clean
4,56,110,0,72,0,11,17,25,5,0,58,2,123,0,245,69,0,74,60,0,31,8,2,9,1,40,76,9,2,9,0.28,8,17,182,25,1,2,345,72,2,125,buggy
1,2,4,0,14,1,6,0,1,2,0,14,0,4,0,20,14,0,14,2,0,4,0,2,2,1,1,0,2,2,10,0.7,10,1,18,1,1,2,38,2,2,15,clean
1,3,5,0,17,0,6,2,2,2,0,88,0,5,1,26,18,0,17,3,0,8,0,4,2,1,2,0,3,2,10,0.69,8,2,22,2,1,1,52,4,1,18,clean
1,3,9,0,11,0,4,3,3,1,0,16,0,9,0,24,11,0,11,3,0,5,0,2,1,1,3,0,1,1,5,0.46,5,2,20,3,1,1,40,3,1,16,clean
2,58,95,0,80,0,6,4,4,5,0,17,0,104,0,234,250,0,75,58,0,47,0,1,5,1,43,0,5,1,3,1.07,3,4,175,37,2,1,529,59,1,117,buggy
7,21,71,0.46,47,0,18,9,12,6,0,92,6,84,0.54,148,29,0,44,21,0,25,3,7,6,1,16,19.75,6,1,12.26,0.2,11.17,11,118,12,4,1,196,22,1,96,clean
