@relation 'data/final_8020_team.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R1-3,6-16,18-24,27-29,31-34,36-52,55-59,63-82,84-91,93-107,109-113'

@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute LOC_ADDED numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute WEIGHTD_AGE numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute REFACTORINGS numeric
@attribute class {buggy,clean}

@data
6,212,50,0.4,50,11,161.179993,9,2,0.18,15,20,0.22,35,0,clean
1,197,11,0.166667,42,7,188.363632,2,1,0.047619,2,7,0.166667,9,0,buggy
1,212,25,0.322581,31,1,137.479996,34,3,1.096774,59,10,0.032258,-34,0,clean
4,30,142,0.764706,68,42,172.788727,54,1,0.794118,102,52,0.617647,40,1,clean
3,150,323,24.6,10,218,147.755417,141,1,14.1,250,246,21.8,73,0,buggy
2,272,21,1.857143,7,1,139.523804,12,2,1.714286,23,13,0.142857,-2,0,clean
1,205,4,0.033898,59,0,173.5,2,1,0.033898,5,2,0,-1,0,clean
0,288,8,0.090909,22,1,173,2,1,0.090909,7,2,0.045455,1,1,clean
3,212,65,0.68,50,32,144.446152,5,2,0.1,18,34,0.64,47,1,buggy
2,212,149,2.962963,27,20,132.651001,92,3,3.407408,178,80,0.740741,-29,0,clean
10,188,189,2.366667,30,69,176.59259,95,1,3.166667,174,71,2.3,15,1,buggy
2,238,26,0.145161,124,9,141.461533,24,1,0.193548,35,18,0.072581,-9,0,clean
3,212,107,1.25641,39,47,83.588783,29,2,0.74359,51,49,1.205128,56,0,clean
6,52,36,0.25,40,5,102,8,3,0.2,23,10,0.125,13,0,clean
9,301,205,0.837838,74,55,146.873169,7,3,0.094595,17,62,0.743243,188,0,clean
2,52,62,0.852941,34,15,60.387096,14,2,0.411765,33,29,0.441176,29,0,clean
4,186,84,6,10,58,178,5,1,0.5,23,60,5.8,61,1,buggy
9,193,435,2.896552,29,54,185.491959,49,2,1.689655,225,84,1.862069,210,3,buggy
3,212,148,1.892857,56,4,189.364868,173,1,3.089286,226,106,0.071429,-78,2,buggy
1,271,5,0.6,5,0,44,3,1,0.6,5,3,0,0,0,buggy
11,164,330,1.333333,51,67,170.012116,43,3,0.843137,163,68,1.313726,167,1,buggy
5,212,81,1.92,25,17,162.197525,31,3,1.24,60,48,0.68,21,0,clean
0,240,0,0,4,0,0,0,0,0,0,0,0,0,0,clean
42,112,1476,5.446154,65,230,166.421402,491,3,7.553846,1145,354,3.538461,331,1,clean
13,164,654,4.358491,53,165,183.55658,80,2,1.509434,385,231,3.113208,269,3,buggy
4,187,204,5.2,15,47,180.039215,31,1,2.066667,97,78,3.133333,107,0,clean
13,58,274,2.961539,26,44,122.642334,305,3,11.730769,405,77,1.692308,-131,0,buggy
5,254,25,0.255814,43,10,146.759995,13,3,0.302326,22,11,0.232558,3,0,clean
5,96,53,0.243243,74,12,105.28302,6,3,0.081081,23,18,0.162162,30,0,clean
