@relation data/final_8020_team.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute metrics29 numeric
@attribute metrics28 numeric
@attribute metrics27 numeric
@attribute metrics26 numeric
@attribute metrics25 numeric
@attribute metrics24 numeric
@attribute metrics23 numeric
@attribute metrics22 numeric
@attribute metrics21 numeric
@attribute metrics20 numeric
@attribute AvgLineComment numeric
@attribute LOC_ADDED numeric
@attribute metrics9 numeric
@attribute CountStmtDecl numeric
@attribute metrics8 numeric
@attribute metrics7 numeric
@attribute metrics6 numeric
@attribute metrics5 numeric
@attribute metrics4 numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute metrics3 numeric
@attribute metrics2 numeric
@attribute metrics1 numeric
@attribute MAX_CODECHURN numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute WEIGHTD_AGE numeric
@attribute MaxCyclomaticModified numeric
@attribute metrics19 numeric
@attribute metrics18 numeric
@attribute metrics16 numeric
@attribute metrics15 numeric
@attribute CntDeclMethodDefault numeric
@attribute metrics14 numeric
@attribute metrics13 numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute metrics12 numeric
@attribute metrics11 numeric
@attribute metrics10 numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute metrics57 numeric
@attribute metrics56 numeric
@attribute PcntLackOfCohesion numeric
@attribute metrics55 numeric
@attribute metrics54 numeric
@attribute metrics53 numeric
@attribute metrics52 numeric
@attribute metrics51 numeric
@attribute metrics50 numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute AVE_CODECHURN numeric
@attribute metrics49 numeric
@attribute metrics48 numeric
@attribute metrics47 numeric
@attribute metrics46 numeric
@attribute metrics45 numeric
@attribute metrics44 numeric
@attribute metrics43 numeric
@attribute metrics42 numeric
@attribute CODECHURN numeric
@attribute metrics41 numeric
@attribute metrics40 numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute metrics39 numeric
@attribute SumCyclomaticStrict numeric
@attribute metrics38 numeric
@attribute metrics37 numeric
@attribute metrics36 numeric
@attribute AvgCyclomatic numeric
@attribute metrics35 numeric
@attribute metrics34 numeric
@attribute REFACTORINGS numeric
@attribute metrics33 numeric
@attribute metrics32 numeric
@attribute metrics31 numeric
@attribute CountSemicolon numeric
@attribute metrics30 numeric
@attribute class {buggy,clean}

@data
5,22,64,6,212,41,28,11,9,72,9,16,40361,40769,17715,0,50,45,52,7,22,2.17268,2.14,2,0.4,50,5,1,3,11,2,8,9,16,161.179993,3,9,3,0.390233,99.5964,0,0.013349,924,42,4,3,788.5,6,93,0,172,46,9,2,0,55,22,0,33,0.18,15,20,5,3,3,1,16,14,3,45.5,1,3,3,7,13,11,3,1,9.33,0.27,8.67,15,0.22,13,13,6,6,21,50,22,22,35,28,0,116,16,2,1,249,0,23,0,8,0,1,1,7,0,37,1,4,93,0,clean
2,12,30,1,197,77,24,10,8,87,13,29,3859664,3859664,1690219,0,11,65,30,63,203,0.204124,1.25,2,0.166667,42,2,0,2,7,4,12,5,10,188.363632,3,2,6,0.318847,99.6587,0,0.02244,927,44,2,6,282.667,6,36,0,79,51,2,1,4,30,15,0,17,0.047619,2,7,1,3,6,1,10,0,8,83,7,7,5,27,13,27,7,1,6,0.65,6,10,0.166667,23,29,19,12,31,66,24,19,9,20,2,60,10,1,1,147,4,16,3,19,5,1,6,9,0,70,10,2,47,2,buggy
2,10,21,1,212,37,659,70,69,66,10,20,3255254,6510499,13078751,0,25,806,22,5,12,12.9892,10.8776,4,0.322581,31,10,2,5,1,0,14,4,4,137.479996,7,7,5,0.380365,99.6125,0,0.007142,3854,17,1,16,890.667,11,23,0,57,13,34,3,0,24,10,0,7,1.096774,59,10,0,2,7,2,8,12,1,50,1,1,2,6,9,9,7,2,10,0.23,10,4,0.032258,15,8,5,7,19,787,15,14,-34,49,0,43,4,1,2,76,0,10,0,5,0,2,0,3,0,35,0,2,33,0,clean
11,74,316,4,30,6,4,2,1,17,2,8,0,0,6391167,1.48,142,10,189,10,27,0,0,0,0.764706,68,2,0,0,42,9,22,44,60,172.788727,3,1,14,38.4896,59.2611,0,2.24931,248,138,0,0,2,1,669,0.99,930,281,54,1,0,187,74,0,191,0.794118,102,52,7,7,3,1,60,0,1,0,1,0,0,2,3,3,3,1,12.48,0.3,10.01,59,0.617647,0,4,2,3,0,7,4,5,40,8,0,505,60,6,1,1381,0,83,1,1,1,1,1,1,1,5,1,1,433,1,clean
4,56,110,3,150,111,38,16,9,77,12,21,0,0,1690219,0,323,100,72,94,317,0,1,0,24.6,10,2,0,1,218,0,11,17,25,147.755417,5,0,9,0,99.969,0,0.031018,900,58,2,6,410,11,123,0,245,69,141,1,0,74,60,0,31,14.1,250,246,8,2,9,1,40,0,13,76,11,9,10,29,22,50,9,2,9,0.28,8,17,21.8,32,38,32,15,49,68,27,18,73,26,3,182,25,1,2,345,8,72,5,28,9,2,8,16,0,99,16,2,125,4,buggy
1,2,4,2,272,37,10,4,5,62,7,23,1068780,2137359,0,0,21,30,14,0,0,0.816497,2.5,2,1.857143,7,2,1,2,1,1,6,0,1,139.523804,2,1,1,0.018374,99.9816,0,0,741,14,0,16,1531,11,4,0,20,14,12,2,0,14,2,0,4,1.714286,23,13,0,2,2,1,1,14,4,0,2,1,2,11,7,12,2,2,10,0.7,10,1,0.142857,12,11,6,9,16,31,19,13,-2,18,0,18,1,1,2,38,1,2,1,7,1,2,1,1,0,39,0,3,15,2,clean
1,3,5,1,205,41,28,11,9,72,9,16,0,0,0,0,4,45,17,7,22,0.125,2.125,2,0.033898,59,4,1,2,0,0,6,2,2,173.5,2,9,3,0.390233,99.5964,0,0.013349,924,88,0,3,788.5,6,5,1,26,18,2,1,0,17,3,0,8,0.033898,5,2,0,4,2,1,2,14,3,0,1,3,3,7,13,11,3,2,10,0.69,8,2,0,13,13,6,6,21,50,22,22,-1,28,0,22,2,1,1,52,0,4,0,8,0,1,1,7,0,37,1,4,18,0,clean
1,3,9,0,288,11,2,2,1,18,5,12,0,0,6391167,0,8,9,11,5,14,0.471405,2.66667,2,0.090909,22,3,1,2,1,0,4,3,3,173,1,1,9,19.2789,79.5818,0,1.13933,239,16,0,10,169.5,5,9,0,24,11,2,1,0,11,3,0,5,0.090909,7,2,0,2,1,1,3,3,2,0,2,0,0,4,2,3,1,1,5,0.46,5,2,0.045455,4,5,2,3,3,10,3,4,1,7,0,20,3,1,1,40,0,3,1,2,1,1,1,1,1,9,1,1,16,1,clean
2,58,95,3,212,82,19,8,6,96,12,53,913906,3655496,0,0,65,50,80,171,185,5.12006,6.65,2,0.68,50,3,2,2,32,0,6,4,4,144.446152,5,17,4,0.651473,99.3378,0,0.010725,1349,17,0,9,905.5,15,104,0,234,250,5,2,0,75,58,0,47,0.1,18,34,0,1,5,1,43,4,117,0,5,4,5,36,13,23,5,1,3,1.07,3,4,0.64,21,40,15,11,28,72,18,13,47,24,1,175,37,2,1,529,3,59,2,127,3,1,3,7,1,79,6,2,117,2,buggy
7,21,71,2,212,31,495,52,51,54,10,21,928,965,13656,0.46,149,605,47,4,13,18.4027,10.5133,6,2.962963,27,26,7,13,20,0,18,9,12,132.651001,6,6,4,2.27546,96.6521,0,1.07243,2935,92,6,15,766.75,10,84,0.54,148,29,92,3,0,44,21,0,25,3.407408,178,80,3,7,6,1,16,9,1,19.75,1,1,2,5,7,7,6,1,12.26,0.2,11.17,11,0.740741,12,7,4,6,15,593,12,11,-29,37,0,118,12,4,1,196,0,22,0,4,0,1,0,2,0,29,0,1,96,0,clean
1,29,49,10,188,74,24,10,7,70,11,23,1687734,3375089,0,0,189,65,39,47,159,0.446339,1.6875,2,2.366667,30,2,1,2,69,4,11,5,11,176.59259,12,1,5,0.009187,99.9753,0,0.015509,423,45,1,11,391.833,11,57,0,123,43,95,1,0,39,29,0,18,3.166667,174,71,2,3,12,1,20,2,9,81,7,5,6,20,15,31,14,2,10,0.35,9,9,2.3,22,25,19,12,33,50,23,16,15,22,2,88,11,1,2,184,5,32,3,18,5,2,5,9,1,69,8,3,58,3,buggy
