@relation 'data/final_8020_team.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R1-5,16-17,19,25-26,30-36,41,44-45,49-67,70,77-83,92,95-99,101,105,108,112'

@attribute metrics29 numeric
@attribute metrics28 numeric
@attribute metrics27 numeric
@attribute metrics26 numeric
@attribute metrics25 numeric
@attribute metrics24 numeric
@attribute metrics23 numeric
@attribute metrics22 numeric
@attribute metrics21 numeric
@attribute metrics20 numeric
@attribute metrics9 numeric
@attribute metrics8 numeric
@attribute metrics7 numeric
@attribute metrics6 numeric
@attribute metrics5 numeric
@attribute metrics4 numeric
@attribute metrics3 numeric
@attribute metrics2 numeric
@attribute metrics1 numeric
@attribute metrics19 numeric
@attribute metrics18 numeric
@attribute metrics16 numeric
@attribute metrics15 numeric
@attribute metrics14 numeric
@attribute metrics13 numeric
@attribute metrics12 numeric
@attribute metrics11 numeric
@attribute metrics10 numeric
@attribute metrics57 numeric
@attribute metrics56 numeric
@attribute metrics55 numeric
@attribute metrics54 numeric
@attribute metrics53 numeric
@attribute metrics52 numeric
@attribute metrics51 numeric
@attribute metrics50 numeric
@attribute metrics49 numeric
@attribute metrics48 numeric
@attribute metrics47 numeric
@attribute metrics46 numeric
@attribute metrics45 numeric
@attribute metrics44 numeric
@attribute metrics43 numeric
@attribute metrics42 numeric
@attribute metrics41 numeric
@attribute metrics40 numeric
@attribute metrics39 numeric
@attribute metrics38 numeric
@attribute metrics37 numeric
@attribute metrics36 numeric
@attribute metrics35 numeric
@attribute metrics34 numeric
@attribute metrics33 numeric
@attribute metrics32 numeric
@attribute metrics31 numeric
@attribute metrics30 numeric
@attribute class {buggy,clean}

@data
41,28,11,9,72,9,16,40361,40769,17715,45,7,22,2.17268,2.14,2,5,1,3,9,3,0.390233,99.5964,0.013349,924,3,788.5,6,14,3,1,3,3,7,13,11,13,13,6,6,21,50,22,22,28,0,0,0,8,0,1,7,37,1,4,0,clean
77,24,10,8,87,13,29,3859664,3859664,1690219,65,63,203,0.204124,1.25,2,2,0,2,2,6,0.318847,99.6587,0.02244,927,6,282.667,6,0,8,7,7,5,27,13,27,23,29,19,12,31,66,24,19,20,2,4,3,19,5,6,9,70,10,2,2,buggy
37,659,70,69,66,10,20,3255254,6510499,13078751,806,5,12,12.9892,10.8776,4,10,2,5,7,5,0.380365,99.6125,0.007142,3854,16,890.667,11,12,1,1,1,2,6,9,9,15,8,5,7,19,787,15,14,49,0,0,0,5,0,0,3,35,0,2,0,clean
6,4,2,1,17,2,8,0,0,6391167,10,10,27,0,0,0,2,0,0,1,14,38.4896,59.2611,2.24931,248,0,2,1,0,1,1,0,0,2,3,3,0,4,2,3,0,7,4,5,8,0,0,1,1,1,1,1,5,1,1,1,clean
111,38,16,9,77,12,21,0,0,1690219,100,94,317,0,1,0,2,0,1,0,9,0,99.969,0.031018,900,6,410,11,0,13,11,9,10,29,22,50,32,38,32,15,49,68,27,18,26,3,8,5,28,9,8,16,99,16,2,4,buggy
37,10,4,5,62,7,23,1068780,2137359,0,30,0,0,0.816497,2.5,2,2,1,2,1,1,0.018374,99.9816,0,741,16,1531,11,14,4,2,1,2,11,7,12,12,11,6,9,16,31,19,13,18,0,1,1,7,1,1,1,39,0,3,2,clean
41,28,11,9,72,9,16,0,0,0,45,7,22,0.125,2.125,2,4,1,2,9,3,0.390233,99.5964,0.013349,924,3,788.5,6,14,3,1,3,3,7,13,11,13,13,6,6,21,50,22,22,28,0,0,0,8,0,1,7,37,1,4,0,clean
11,2,2,1,18,5,12,0,0,6391167,9,5,14,0.471405,2.66667,2,3,1,2,1,9,19.2789,79.5818,1.13933,239,10,169.5,5,3,2,2,0,0,4,2,3,4,5,2,3,3,10,3,4,7,0,0,1,2,1,1,1,9,1,1,1,clean
82,19,8,6,96,12,53,913906,3655496,0,50,171,185,5.12006,6.65,2,3,2,2,17,4,0.651473,99.3378,0.010725,1349,9,905.5,15,4,117,5,4,5,36,13,23,21,40,15,11,28,72,18,13,24,1,3,2,127,3,3,7,79,6,2,2,buggy
31,495,52,51,54,10,21,928,965,13656,605,4,13,18.4027,10.5133,6,26,7,13,6,4,2.27546,96.6521,1.07243,2935,15,766.75,10,9,1,1,1,2,5,7,7,12,7,4,6,15,593,12,11,37,0,0,0,4,0,0,2,29,0,1,0,clean
