@relation 'data/final_8020.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R6-15,18,20-24,27-29,37-40,42-43,46-48,68-69,71-76,84-91,93-94,100,102-104,106-107,109-111,113'

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute AvgLineComment numeric
@attribute LOC_ADDED numeric
@attribute CountStmtDecl numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute WEIGHTD_AGE numeric
@attribute MaxCyclomaticModified numeric
@attribute CntDeclMethodDefault numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute PcntLackOfCohesion numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute REFACTORINGS numeric
@attribute CountSemicolon numeric
@attribute class {buggy,clean}

@data
7,24,32,0,70,0.99,1,49,0.5,2,0,0,44,9,11,70,9,0,77,7,54,0.38,137,38,1,1,4,62,24,1,30,0.5,1,1,2,6,9,1,14,22.4,9,2,10.62,0.28,9.44,9,0,0,81,11,5,2,194,24,2,0,60,clean
1,7,12,3,91,0,31,18,2.714286,7,11,0,4,3,4,86.838707,2,0,17,1,13,0,38,43,8,3,1,18,7,0,8,1.142857,19,19,1,1,2,1,4,62,3,2,6,1.13,6,3,1.571429,12,30,4,1,1,89,9,1,0,22,clean
5,15,34,2,96,0.4,427,33,10.941176,17,186,0,9,6,8,94.763466,6,1,47,1,42,0,87,19,95,3,0,31,15,0,9,5.588235,125,186,1,4,6,1,8,5.33,7,2,11.4,0.22,11,8,10.941176,302,67,8,3,1,115,16,1,0,51,clean
1,23,39,4,91,1,57,47,2.222222,9,20,0,4,3,3,84.368423,5,0,16,4,43,0,112,119,11,3,0,48,23,0,27,1.222222,22,20,0,2,5,1,15,33,5,1,9,1.06,8,3,2.222222,35,86,15,2,1,257,23,1,0,65,clean
2,30,54,6,91,0,91,49,1.727273,11,14,0,3,9,12,87.384613,11,2,25,5,62,0,147,86,120,3,1,55,30,0,18,10.909091,177,19,1,1,11,1,22,63,11,2,10,0.59,10,12,1.272727,-86,103,12,1,2,241,34,2,0,74,clean
1,652,736,20,18,0,935,415,1.204969,161,127,0,1,1,1,77.765778,111,0,43,0,937,0,1589,422,194,6,1,393,710,0,173,1.204969,584,194,0,4,115,4,468,100,143,8,3,0.27,3,1,0.78882,351,1151,56,3,6,2065,845,6,0,832,clean
1,37,69,2,96,0,458,61,9.285714,21,195,0,11,13,16,95.037117,13,2,29,9,80,0,176,21,11,2,3,60,37,0,22,0.52381,51,195,1,2,13,1,19,87,13,2,9,0.12,9,16,9.285714,407,130,16,1,2,211,38,2,0,98,clean
9,166,311,6,91,0,657,227,36.846153,13,309,15,35,44,65,89.325722,16,5,156,34,340,0,739,308,170,3,5,223,172,0,75,13.076923,265,479,1,9,16,1,93,49.57,17,2,9.04,0.42,8.6,64,23.76923,392,538,65,7,2,1113,190,2,0,374,clean
2,9,3,0,92,0,0,16,0,1,0,0,1,9,9,0,1,0,22,0,3,0,29,42,0,1,0,16,9,0,12,0,0,0,0,1,1,1,9,0,1,1,2,1.45,2,9,0,0,19,9,1,1,83,9,1,0,9,clean
2,20,30,8,126,0,0,43,0,20,0,0,13,5,6,0,12,0,75,1,34,0,94,13,0,2,0,43,20,0,15,0,0,0,1,2,12,1,6,66,12,3,11,0.14,10,6,0,0,73,6,1,3,122,20,3,0,53,clean
