@relation 'data/final_8020.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R6-15,18,20-24,27-29,37-40,42-43,46-48,68-69,71-76,84-91,93-94,100,102-104,106-107,109-111,113-weka.filters.unsupervised.attribute.Remove-R4-5,7,9-11,16,25-26,32-34,47-48,56'

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute AvgLineComment numeric
@attribute CountStmtDecl numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute MaxCyclomaticModified numeric
@attribute CntDeclMethodDefault numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute PcntLackOfCohesion numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute CountSemicolon numeric
@attribute class {buggy,clean}

@data
7,24,32,0.99,49,0,44,9,11,9,0,77,7,54,0.38,137,38,4,62,24,1,30,2,6,9,1,14,22.4,9,2,10.62,0.28,9.44,9,81,11,5,2,194,24,2,60,clean
1,7,12,0,18,0,4,3,4,2,0,17,1,13,0,38,43,1,18,7,0,8,1,1,2,1,4,62,3,2,6,1.13,6,3,30,4,1,1,89,9,1,22,clean
5,15,34,0.4,33,0,9,6,8,6,1,47,1,42,0,87,19,0,31,15,0,9,1,4,6,1,8,5.33,7,2,11.4,0.22,11,8,67,8,3,1,115,16,1,51,clean
1,23,39,1,47,0,4,3,3,5,0,16,4,43,0,112,119,0,48,23,0,27,0,2,5,1,15,33,5,1,9,1.06,8,3,86,15,2,1,257,23,1,65,clean
2,30,54,0,49,0,3,9,12,11,2,25,5,62,0,147,86,1,55,30,0,18,1,1,11,1,22,63,11,2,10,0.59,10,12,103,12,1,2,241,34,2,74,clean
1,652,736,0,415,0,1,1,1,111,0,43,0,937,0,1589,422,1,393,710,0,173,0,4,115,4,468,100,143,8,3,0.27,3,1,1151,56,3,6,2065,845,6,832,clean
1,37,69,0,61,0,11,13,16,13,2,29,9,80,0,176,21,3,60,37,0,22,1,2,13,1,19,87,13,2,9,0.12,9,16,130,16,1,2,211,38,2,98,clean
9,166,311,0,227,15,35,44,65,16,5,156,34,340,0,739,308,5,223,172,0,75,1,9,16,1,93,49.57,17,2,9.04,0.42,8.6,64,538,65,7,2,1113,190,2,374,clean
2,9,3,0,16,0,1,9,9,1,0,22,0,3,0,29,42,0,16,9,0,12,0,1,1,1,9,0,1,1,2,1.45,2,9,19,9,1,1,83,9,1,9,clean
2,20,30,0,43,0,13,5,6,12,0,75,1,34,0,94,13,0,43,20,0,15,1,2,12,1,6,66,12,3,11,0.14,10,6,73,6,1,3,122,20,3,53,clean
1,11,20,0,30,2,13,2,4,8,0,17,4,24,1,68,17,0,32,11,0,17,0,2,8,1,4,68,8,2,12,0.25,11,4,50,4,1,2,102,11,2,38,clean
1,1,1,0,5,0,2,1,1,1,0,14,0,1,0,8,17,0,5,1,1,5,0,1,1,1,1,0,1,1,3,2.13,3,1,6,1,1,1,30,1,1,4,clean
3,49,117,0.53,107,0,19,8,14,9,1,40,11,122,0,275,112,1,102,49,0,31,5,3,9,1,18,63,9,3,15.98,0.41,14.98,13,224,14,2,3,410,50,3,180,clean
2,53,79,0,73,0,3,2,2,7,0,15,0,81,0,190,110,0,66,53,0,37,0,1,7,1,41,0,7,2,4,0.58,4,2,152,29,2,1,336,58,1,105,buggy
1,1,4,0,10,0,0,1,1,1,0,14,0,4,0,16,17,5,10,1,0,10,0,1,1,1,1,19,1,1,6,1.06,6,0,14,1,1,1,43,1,1,12,clean
1,10,13,0,34,0,4,6,7,3,0,20,0,15,0,70,46,5,44,10,0,20,1,2,3,1,7,82,3,1,7,0.66,7,7,47,7,1,1,128,10,1,36,clean
1,1,3,0,16,0,2,1,1,1,0,27,0,3,2,21,13,0,16,1,0,7,0,4,1,1,1,0,1,1,11,0.62,9,1,19,1,1,1,41,1,1,17,clean
1,2,4,0,11,0,3,2,2,1,0,15,1,4,0,18,13,0,11,2,0,6,0,1,1,1,2,0,1,1,4,0.72,4,2,15,2,1,1,37,2,1,12,clean
3,49,35,2,51,0,9,8,9,21,0,156,1,40,2,122,41,1,56,49,0,33,1,4,21,1,22,77,21,2,24,0.34,20,9,86,9,1,2,191,49,2,62,clean
1,4,9,2,17,0,5,1,1,4,0,21,0,9,3,29,16,0,17,4,0,6,0,2,4,3,3,0,5,5,23,0.55,18,1,26,1,1,4,51,5,4,21,clean
1,1,10,0,6,0,0,1,1,1,0,14,0,10,0,18,15,0,6,1,0,3,0,2,1,1,1,0,1,1,12,0.83,12,1,16,1,1,1,36,1,1,14,clean
7,15,50,0,40,0,10,8,8,5,0,60,7,57,0.6,104,15,0,37,15,0,23,0,5,5,1,10,12.75,5,1,9.83,0.14,8.93,8,90,8,4,1,142,15,1,74,clean
2,8,13,0,16,0,3,6,6,3,0,38,2,13,0,36,13,1,16,8,0,12,0,3,3,1,6,66,3,1,5,0.36,4,6,29,6,1,1,58,8,1,20,clean
1,24,42,1,42,0,1,5,16,4,0,29,6,45,0,111,45,0,42,24,0,32,11,1,4,1,16,84,4,1,8,0.41,6,16,84,16,1,1,188,25,1,59,clean
4,66,114,0,87,0,14,24,31,10,0,144,6,125,0,282,224,5,91,66,0,54,7,8,10,1,37,47,14,2,4.99,0.79,4.99,30,201,32,5,2,549,81,2,134,clean
3,13,53,0,43,0,7,7,8,4,0,34,6,53,0.56,106,12,0,41,13,0,22,1,3,4,1,10,26,4,1,9.15,0.11,8.03,8,96,8,2,1,139,13,1,83,clean
9,100,129,2.71,88,0,48,16,22,10,0,312,4,137,0,265,63,3,84,100,0,34,6,18,10,1,56,20.67,12,2,19.67,0.24,19.04,22,217,22,6,2,316,106,2,166,clean
1,18,33,2,32,1,9,2,4,8,0,28,0,37,2,91,27,0,35,18,0,16,1,2,8,4,17,0,8,4,22,0.3,18,2,65,4,1,4,133,19,4,45,clean
8,21,84,0,64,1,11,10,14,3,0,66,7,105,0.88,190,21,2,63,21,0,47,3,5,3,1,14,17.25,3,1,8.44,0.11,7,14,148,14,4,1,255,21,1,126,clean
1,16,22,0,20,1,11,2,4,7,0,17,0,22,0,59,15,1,21,16,0,11,1,2,7,2,10,75,7,4,11,0.25,11,4,42,4,1,4,84,16,4,25,clean
1,4,6,0,15,0,7,1,2,2,0,15,1,8,0,29,16,0,16,4,0,7,1,2,2,1,2,50,3,2,9,0.55,9,2,21,2,1,2,52,5,2,16,clean
1,49,86,3,82,0,15,12,12,13,0,41,0,102,0,242,99,2,98,49,0,27,0,2,13,3,47,87,13,4,19,0.41,16,12,168,12,1,4,352,50,4,118,clean
4,15,96,0.31,31,2,9,13,15,1,0,61,7,99,0,151,21,0,34,15,0,31,0,6,1,1,15,25,2,1,7.67,0.14,6.95,15,127,15,3,1,203,18,1,109,clean
10,235,322,0,172,0,9,5,5,17,0,70,0,382,0.2,721,348,0,165,235,0,87,0,5,17,1,147,0,19,3,21.2,0.48,21,5,494,60,7,2,1152,255,2,323,clean
1,15,30,1,22,2,5,5,7,9,0,20,6,37,0,77,42,0,23,15,1,17,0,2,9,1,7,73,10,2,10,0.55,8,7,52,7,1,2,136,17,2,35,clean
1,115,202,1,143,0,32,26,29,12,0,42,0,216,0,424,88,5,133,115,0,40,3,1,12,2,64,96,15,4,14,0.21,13,0,345,29,1,3,519,138,3,240,clean
1,7,16,0,15,1,6,2,3,3,0,25,1,17,0,45,29,4,20,7,0,15,0,3,3,1,5,73,3,3,10,0.64,9,3,31,3,1,2,81,9,2,23,clean
2,4,6,0,8,0,0,1,1,4,0,14,0,6,0,19,16,0,8,4,0,4,0,1,4,4,4,0,5,5,15,0.84,15,1,14,1,1,4,39,5,4,9,clean
1,10,16,0,28,0,11,4,4,7,0,17,2,17,2,57,15,0,29,10,0,19,0,2,7,1,4,50,7,2,12,0.26,9,4,44,4,1,2,91,10,2,31,clean
2,24,45,0,40,0,5,1,2,6,1,15,3,57,0,127,126,0,46,26,0,27,0,1,6,1,13,33,7,2,12,0.99,12,2,85,13,2,1,279,28,2,61,clean
1,8,44,0,42,2,23,3,5,2,0,30,2,47,2,98,17,0,42,8,0,24,0,4,2,1,5,30,2,1,17,0.17,14,5,86,5,1,1,138,8,1,76,clean
1,5,74,1,35,0,21,5,5,1,0,18,5,75,2,118,34,0,38,5,0,28,0,2,1,1,5,64,1,1,21,0.29,18,5,109,5,1,1,174,5,1,103,clean
1,1,3,0,8,0,3,1,1,1,0,14,0,3,0,13,13,0,8,1,0,6,0,1,1,1,1,0,1,1,6,1,6,0,11,1,1,1,32,1,1,9,clean
