@relation 'data/final_5050.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R6-15,18,20-24,27-29,37-40,42-43,46-48,68-69,71-76,84-91,93-94,101,103-105,107-108,110-112,114-weka.filters.unsupervised.attribute.Remove-R53'

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute AvgLineComment numeric
@attribute LOC_ADDED numeric
@attribute CountStmtDecl numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute WEIGHTD_AGE numeric
@attribute MaxCyclomaticModified numeric
@attribute CntDeclMethodDefault numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute PcntLackOfCohesion numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute REFACTORINGS numeric
@attribute CountSemicolon numeric
@attribute class {buggy,clean}

@data
4,46,76,4,175,0.32,18,69,0.255814,43,10,3,9,15,21,96.555557,6,0,47,2,79,0,182,76,13,3,4,60,46,0,29,0.302326,17,11,3,3,6,1,29,43,7,2,8.68,0.42,7.36,20,0.232558,1,145,21,2,2,281,49,2,0,105,clean
11,24,27,1,42,0,0,59,0,16,0,0,10,23,23,0,2,0,101,0,41,0,155,248,0,3,0,89,24,0,30,0,0,0,0,6,2,1,23,0,2,1,4.23,1.6,4.23,5,0,0,86,23,6,1,433,24,1,0,62,clean
1,8,14,1,103,0,0,23,0,8,0,2,5,3,5,0,2,0,18,0,17,0,53,7,0,1,0,27,8,0,12,0,0,0,0,2,2,1,5,0,3,1,8,0.13,7,5,0,0,37,5,1,1,72,9,1,0,28,clean
1,1,8,1,38,2,4,6,0.133333,15,1,0,6,1,1,24,1,0,14,0,8,1,16,12,2,3,0,6,1,0,4,0.133333,2,2,0,1,1,1,1,0,1,1,14,0.75,11,0,0.066667,2,14,1,1,1,32,1,1,0,12,buggy
20,33,104,2,2,0,0,103,0,7,0,4,40,17,24,0,3,0,167,14,133,0.66,269,27,0,3,0,107,33,0,38,0,0,0,3,11,3,1,24,11.64,3,1,10.05,0.1,9.28,22,0,0,207,24,11,1,333,33,1,0,172,buggy
1,27,35,0,61,0,0,42,0,1,0,5,13,14,19,0,5,0,64,2,37,0,103,94,0,1,0,42,27,0,33,0,0,0,0,3,5,1,19,55,5,1,4,0.91,4,19,0,0,77,19,1,1,230,28,1,0,49,clean
6,56,96,0,61,0,0,106,0,1,0,2,21,23,30,0,10,2,179,11,104,0.08,257,113,0,1,1,101,56,0,59,0,0,0,3,7,10,1,32,30,11,1,7.61,0.44,6.69,30,0,0,202,30,3,1,428,58,1,0,148,clean
1,58,52,1,99,0,0,39,0,4,0,5,10,10,15,0,14,0,56,4,52,0,108,97,0,1,0,37,58,1,28,0,0,0,0,2,14,1,38,76,14,2,13,0.9,12,14,0,0,91,15,1,1,233,60,1,0,63,clean
2,14,28,6,11,0,98,47,8.375,8,62,0,10,11,11,88.367348,4,0,24,9,31,0,111,48,8,1,0,47,14,0,22,1,28,67,0,2,4,1,11,81,4,1,7,0.43,7,11,7.75,70,75,11,1,1,179,14,1,0,61,buggy
2,4,1,0,3,1,0,9,0,6,0,0,0,4,4,0,1,0,17,0,1,0,15,14,0,1,0,9,4,1,7,0,0,0,0,1,1,1,4,0,1,1,3,0.93,2,4,0,0,10,4,1,1,36,4,1,0,5,clean
2,10,16,5,47,0,0,31,0,24,0,0,5,5,5,0,6,0,74,1,18,0,60,12,0,3,1,31,10,1,14,0,0,0,0,2,6,2,10,80,8,2,8,0.2,7,5,0,0,47,5,1,2,86,12,2,0,34,clean
2,19,32,4,56,0.41,6,28,0.333333,9,3,0,7,11,13,35,5,1,39,5,35,0,85,27,15,2,6,32,19,0,27,1.666667,21,3,1,3,5,1,17,63,5,1,4.82,0.32,4.82,13,0.333333,-15,60,13,2,1,130,19,1,0,39,clean
7,23,86,0,242,0.31,1,45,0.125,8,0,2,7,4,9,100,12,0,61,8,89,0.93,145,42,1,1,0,42,23,0,33,0.125,1,1,3,5,12,1,9,13.5,14,2,9.85,0.29,8.61,9,0,0,131,9,4,2,215,26,2,0,107,clean
2,5,11,0,192,0,0,27,0,5,0,1,6,4,5,0,1,0,53,0,11,0,45,12,0,0,0,27,5,0,8,0,0,0,0,5,1,1,5,0,1,1,5.4,0.27,5.4,5,0,0,38,5,2,1,63,5,1,0,31,clean
18,126,269,19,89,0.74,773,147,4.763158,38,181,2,15,33,53,57.446312,9,8,183,30,325,0,579,557,97,3,3,134,129,0,98,2.552632,314,181,10,10,10,1,61,16.1,10,2,10.23,0.96,9.55,53,4.763158,459,416,53,10,2,1207,136,2,0,291,clean
1,9,12,0,12,0,0,41,0,13,0,0,5,1,2,0,5,0,15,0,13,3,62,10,0,2,12,39,9,0,23,0,0,0,1,1,5,1,2,83,5,5,20,0.16,17,0,0,0,53,2,1,4,95,10,4,0,44,clean
3,19,34,0,61,0,0,35,0,1,0,4,7,9,13,0,2,0,153,2,32,0,86,55,0,1,0,36,19,0,24,0,0,0,0,4,2,1,13,88,2,1,5,0.64,5,13,0,0,69,13,1,1,165,19,1,0,49,clean
4,21,27,9,84,1,0,29,0,17,0,0,3,11,12,0,5,0,25,0,28,0,76,27,0,2,0,29,21,0,15,0,0,0,1,1,5,1,20,0,6,1,6,0.36,5,11,0,0,56,12,1,1,118,23,1,0,34,clean
7,19,43,0,6,0,0,56,0,38,0,4,11,5,10,0,5,0,62,0,49,0.32,125,8,0,1,2,56,19,0,25,0,0,0,1,5,5,1,12,21.25,5,2,7.1,0.06,6.45,10,0,0,99,10,4,1,158,20,1,0,76,buggy
3,17,42,2,47,0,0,36,0,24,0,1,10,7,8,0,6,0,146,3,43,0,98,10,0,3,2,36,17,0,20,0,0,0,0,4,6,1,8,31,6,2,7.11,0.1,7.11,8,0,0,78,8,2,2,128,17,2,0,57,clean
1,4,5,4,56,0,5,10,0.1,10,1,0,2,3,4,32.400002,1,1,17,2,5,0,21,10,5,2,1,11,4,0,10,0.5,11,1,0,2,1,1,4,50,1,1,3,0.48,3,4,0.1,-6,15,4,1,1,41,4,1,0,10,clean
