@relation 'data/final_5050.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R6-15,18,20-24,27-29,37-40,42-43,46-48,68-69,71-76,84-91,93-94,101,103-105,107-108,110-112,114-weka.filters.unsupervised.attribute.Remove-R53-weka.filters.unsupervised.attribute.Remove-R4-5,7,9-11,16,25-26,32-34,47-48,56'

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute AvgLineComment numeric
@attribute CountStmtDecl numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute MaxCyclomaticModified numeric
@attribute CntDeclMethodDefault numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute PcntLackOfCohesion numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute CountSemicolon numeric
@attribute class {buggy,clean}

@data
4,46,76,0.32,69,3,9,15,21,6,0,47,2,79,0,182,76,4,60,46,0,29,3,3,6,1,29,43,7,2,8.68,0.42,7.36,20,145,21,2,2,281,49,2,105,clean
11,24,27,0,59,0,10,23,23,2,0,101,0,41,0,155,248,0,89,24,0,30,0,6,2,1,23,0,2,1,4.23,1.6,4.23,5,86,23,6,1,433,24,1,62,clean
1,8,14,0,23,2,5,3,5,2,0,18,0,17,0,53,7,0,27,8,0,12,0,2,2,1,5,0,3,1,8,0.13,7,5,37,5,1,1,72,9,1,28,clean
1,1,8,2,6,0,6,1,1,1,0,14,0,8,1,16,12,0,6,1,0,4,0,1,1,1,1,0,1,1,14,0.75,11,0,14,1,1,1,32,1,1,12,buggy
20,33,104,0,103,4,40,17,24,3,0,167,14,133,0.66,269,27,0,107,33,0,38,3,11,3,1,24,11.64,3,1,10.05,0.1,9.28,22,207,24,11,1,333,33,1,172,buggy
1,27,35,0,42,5,13,14,19,5,0,64,2,37,0,103,94,0,42,27,0,33,0,3,5,1,19,55,5,1,4,0.91,4,19,77,19,1,1,230,28,1,49,clean
6,56,96,0,106,2,21,23,30,10,2,179,11,104,0.08,257,113,1,101,56,0,59,3,7,10,1,32,30,11,1,7.61,0.44,6.69,30,202,30,3,1,428,58,1,148,clean
1,58,52,0,39,5,10,10,15,14,0,56,4,52,0,108,97,0,37,58,1,28,0,2,14,1,38,76,14,2,13,0.9,12,14,91,15,1,1,233,60,1,63,clean
2,14,28,0,47,0,10,11,11,4,0,24,9,31,0,111,48,0,47,14,0,22,0,2,4,1,11,81,4,1,7,0.43,7,11,75,11,1,1,179,14,1,61,buggy
2,4,1,1,9,0,0,4,4,1,0,17,0,1,0,15,14,0,9,4,1,7,0,1,1,1,4,0,1,1,3,0.93,2,4,10,4,1,1,36,4,1,5,clean
