@relation 'data/final_5050.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R6-15,18,20-24,27-29,37-40,42-43,46-48,68-69,71-76,84-91,93-94,101,103-105,107-108,110-112,114-weka.filters.unsupervised.attribute.Remove-R53-weka.filters.unsupervised.attribute.Remove-R1-3,6,8,12-15,17-24,27-31,35-46,49-55,57'

@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute LOC_ADDED numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute WEIGHTD_AGE numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute REFACTORINGS numeric
@attribute class {buggy,clean}

@data
4,175,18,0.255814,43,10,96.555557,13,3,0.302326,17,11,0.232558,1,0,clean
1,42,0,0,16,0,0,0,3,0,0,0,0,0,0,clean
1,103,0,0,8,0,0,0,1,0,0,0,0,0,0,clean
1,38,4,0.133333,15,1,24,2,3,0.133333,2,2,0.066667,2,0,buggy
2,2,0,0,7,0,0,0,3,0,0,0,0,0,0,buggy
0,61,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
0,61,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
1,99,0,0,4,0,0,0,1,0,0,0,0,0,0,clean
6,11,98,8.375,8,62,88.367348,8,1,1,28,67,7.75,70,0,buggy
0,3,0,0,6,0,0,0,1,0,0,0,0,0,0,clean
5,47,0,0,24,0,0,0,3,0,0,0,0,0,0,clean
4,56,6,0.333333,9,3,35,15,2,1.666667,21,3,0.333333,-15,0,clean
0,242,1,0.125,8,0,100,1,1,0.125,1,1,0,0,0,clean
0,192,0,0,5,0,0,0,0,0,0,0,0,0,0,clean
19,89,773,4.763158,38,181,57.446312,97,3,2.552632,314,181,4.763158,459,0,clean
0,12,0,0,13,0,0,0,2,0,0,0,0,0,0,clean
0,61,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
9,84,0,0,17,0,0,0,2,0,0,0,0,0,0,clean
0,6,0,0,38,0,0,0,1,0,0,0,0,0,0,buggy
2,47,0,0,24,0,0,0,3,0,0,0,0,0,0,clean
4,56,5,0.1,10,1,32.400002,5,2,0.5,11,1,0.1,-6,0,clean
1,108,17,0.714286,7,5,101.705879,8,4,1.142857,17,5,0.714286,0,0,clean
0,133,9,0.205882,34,7,108.333336,2,1,0.058824,2,7,0.205882,7,0,clean
2,133,166,10.1875,16,136,25.36747,27,2,1.6875,30,163,8.5,136,0,clean
7,106,91,3.166667,12,38,70.945053,9,4,0.75,23,38,3.166667,68,0,clean
3,48,30,2.125,8,1,17.066668,16,2,2,41,17,0.125,-11,0,clean
3,54,19,1.230769,13,10,39.842106,6,1,0.461538,9,16,0.769231,10,0,clean
1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,clean
0,30,0,0,7,0,0,0,1,0,0,0,0,0,0,clean
0,157,3,0.333333,6,0,97,2,1,0.333333,3,2,0,0,0,clean
14,99,1269,6.985714,70,164,50.272655,549,4,7.842857,929,489,2.342857,340,1,clean
2,133,16,0.166667,48,5,92.375,3,2,0.0625,6,8,0.104167,10,0,clean
7,82,386,2.864865,37,78,47.803108,162,5,4.378378,326,106,2.108108,60,1,buggy
7,47,532,7.25,28,170,28.246241,33,3,1.178572,100,203,6.071429,432,0,buggy
0,10,0,0,16,0,0,0,1,0,0,0,0,0,0,clean
0,209,8,0.090909,22,1,94.25,2,1,0.090909,7,2,0.045455,1,1,buggy
1,13,39,13,3,24,2,15,1,5,15,39,8,24,0,clean
5,78,27,0.555556,18,9,51.666668,4,4,0.222222,8,10,0.5,19,0,buggy
4,98,483,2.442308,104,162,21.10145,142,4,1.365385,261,254,1.557692,222,0,clean
6,91,217,3.588235,17,52,72.235024,65,3,3.82353,119,61,3.058824,98,0,buggy
3,103,0,0,13,0,0,0,2,0,0,0,0,0,0,clean
5,33,38,0.070313,128,8,56.736843,23,2,0.179688,31,9,0.0625,7,0,clean
15,67,516,2.970588,34,55,100.637596,102,2,3,264,101,1.617647,252,1,clean
44,121,1406,0.820513,117,96,39.799431,63,3,0.538462,281,96,0.820513,1125,0,clean
8,99,552,7.724138,29,165,48.643116,158,4,5.448276,319,224,5.689655,233,0,clean
6,76,29,0.55,20,9,30.896551,19,3,0.95,28,11,0.45,1,0,clean
2,60,3,0.222222,9,0,109.333336,2,1,0.222222,3,2,0,0,0,clean
1,77,39,7.5,4,29,2.461539,9,2,2.25,10,30,7.25,29,0,clean
4,151,275,4.580645,31,140,100.130913,12,3,0.387097,35,142,4.516129,240,0,clean
4,41,0,0,30,0,0,0,3,0,0,0,0,0,0,buggy
0,124,0,0,2,0,0,0,0,0,0,0,0,0,0,clean
1,18,0,0,10,0,0,0,1,0,0,0,0,0,0,clean
0,158,0,0,15,0,0,0,0,0,0,0,0,0,0,clean
4,121,5,0.375,8,1,86.400002,2,4,0.25,4,3,0.125,1,0,clean
2,26,62,2.818182,11,31,25.5,0,3,0,0,31,2.818182,62,0,buggy
3,159,140,16.375,8,129,47.5,2,2,0.25,5,131,16.125,135,0,clean
0,133,0,0,24,0,0,0,0,0,0,0,0,0,0,clean
11,0,350,2.541667,24,58,65.422859,39,3,1.625,229,61,2.416667,121,0,clean
