@relation 'data/final_5050.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-5,16-17,19,25-26,30-36,41,44-45,49-67,70,77-83,92,95-100,102,106,109,113'

@attribute metrics29 numeric
@attribute metrics28 numeric
@attribute metrics27 numeric
@attribute metrics26 numeric
@attribute metrics25 numeric
@attribute metrics24 numeric
@attribute metrics23 numeric
@attribute metrics22 numeric
@attribute metrics21 numeric
@attribute metrics20 numeric
@attribute metrics9 numeric
@attribute metrics8 numeric
@attribute metrics7 numeric
@attribute metrics6 numeric
@attribute metrics5 numeric
@attribute metrics4 numeric
@attribute metrics3 numeric
@attribute metrics2 numeric
@attribute metrics1 numeric
@attribute metrics19 numeric
@attribute metrics18 numeric
@attribute metrics16 numeric
@attribute metrics15 numeric
@attribute metrics14 numeric
@attribute metrics13 numeric
@attribute metrics12 numeric
@attribute metrics11 numeric
@attribute metrics10 numeric
@attribute metrics57 numeric
@attribute metrics56 numeric
@attribute metrics55 numeric
@attribute metrics54 numeric
@attribute metrics53 numeric
@attribute metrics52 numeric
@attribute metrics51 numeric
@attribute metrics50 numeric
@attribute metrics49 numeric
@attribute metrics48 numeric
@attribute metrics47 numeric
@attribute metrics46 numeric
@attribute metrics45 numeric
@attribute metrics44 numeric
@attribute metrics43 numeric
@attribute metrics42 numeric
@attribute metrics41 numeric
@attribute metrics40 numeric
@attribute metrics39 numeric
@attribute metrics38 numeric
@attribute metrics37 numeric
@attribute metrics36 numeric
@attribute metrics35 numeric
@attribute metrics34 numeric
@attribute metrics33 numeric
@attribute metrics32 numeric
@attribute metrics31 numeric
@attribute metrics30 numeric
@attribute class {buggy,clean}

@data
4,4,2,1,4,3,5,135987,899470,1596476,6,0,0,33.924,0,2,4,3,2,0,4,0.020271,99.9797,0,97,0,837,11,1,0,0,0,0,1,0,1,1,1,1,0,2,5,2,2,2,0,0,0,0,0,0,1,2,0,0,0,clean
49,2,2,4,51,14,25,11,18,65,12,8,49,31.4869,0,4,3,6,15,8,6,12.8336,85.956,1.21044,810,0,2,1,7,0,1,0,4,17,4,13,19,15,8,7,23,35,12,6,5,0,0,0,6,1,1,1,49,2,1,0,clean
22,1,1,1,28,7,15,526,5110,38098,10,0,0,31.8757,13.7128,3,11,6,9,2,8,0.799568,96.4745,2.72595,404,4,25,3,7,3,0,0,2,6,3,8,5,7,6,2,7,18,4,3,6,0,0,0,5,0,0,0,22,0,0,0,clean
51,77,74,74,135,8,18,17663,60526,1190390,305,19,670,17.228,0,2,3,1,2,628,8,19.2434,78.2833,2.47332,1347,2,7.28571,2,7,2,3,1,5,8,10,11,22,11,7,8,24,308,15,15,23,0,0,0,9,0,0,1,51,0,0,0,buggy
221,378,41,39,193,59,75,873,2672,10504320,487,0,0,12.7301,3.67463,6,14,2,8,3,5,0.012361,99.985,0.002611,552,1,119.625,27,3,1,6,10,32,13,22,39,148,15,31,16,160,482,40,34,95,0,0,1,48,1,0,2,219,0,1,0,buggy
127,4,3,1,86,14,24,174063,174063,1544,32,8,25,23.7538,0,2,5,5,5,2,4,11.9983,86.977,1.02471,1784,3,155.25,2,21,2,3,3,5,32,12,45,38,35,38,8,45,43,21,17,14,0,0,1,11,0,1,3,124,1,0,0,clean
111,4,4,3,87,17,29,19390,77532,221643,31,15,38,17.7522,0,4,4,3,6,2,3,15.9142,83.0338,1.05202,1614,2,106.429,2,19,7,3,3,4,31,13,37,31,35,29,9,39,42,21,18,18,0,0,1,16,0,1,3,109,1,1,0,clean
15,0,1,1,20,4,13,140091,138069,0,8,6,21,18.8718,0,2,7,2,4,6,10,35.1488,60.7524,4.09882,231,0,0,1,6,0,0,2,1,5,5,4,2,4,5,3,3,10,4,5,3,0,0,0,3,0,0,0,16,0,0,0,clean
2,0,0,0,1,1,3,391831,657199,4884237,1,0,0,10.2619,6.46687,2,5,1,3,0,5,5.24961,0,94.7504,8,0,165.5,7,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,buggy
22,1,0,0,16,9,14,34711,34708,0,10,0,0,4.79244,0,1,6,1,3,9,3,48.9362,50,1.06383,340,0,1,1,7,3,0,1,0,7,5,6,4,8,3,3,8,10,4,3,2,0,0,1,1,0,2,2,20,1,1,0,clean
17,2,1,1,26,5,7,150502,258917,2893258,14,2,8,31.9151,0,2,2,1,2,1,4,5.28833,94.2971,0.414523,355,8,2,2,11,0,1,1,1,6,4,6,4,7,5,3,6,13,6,6,5,0,0,0,3,1,1,2,15,2,1,0,clean
71,1,1,2,84,18,33,62878,62878,0,47,8,26,20.1256,0,3,3,1,4,10,4,1.99995,97.9263,0.073728,1203,2,25.5,5,22,3,1,2,5,27,12,13,17,28,6,10,26,40,20,14,17,0,0,1,7,0,1,1,70,0,2,0,clean
66,4,5,5,55,23,38,0,0,44254,31,0,0,11.8907,0,2,6,1,2,0,2,0.062111,99.9378,0.000114,962,7,243,2,15,3,1,0,3,27,10,14,16,25,7,14,22,31,18,9,11,0,0,0,7,0,1,2,64,1,1,0,clean
66,4,5,5,55,23,38,2358784,2314219,0,31,0,0,14.3144,0,2,5,1,2,0,2,0.062111,99.9378,0.000114,962,7,243,2,15,3,1,0,3,27,10,14,16,25,7,14,22,31,18,9,11,0,0,0,7,0,1,2,64,1,1,0,clean
66,4,5,5,55,23,38,2890419,2894839,1354,31,0,0,37.5328,0,2,3,2,1,0,2,0.062111,99.9378,0.000114,962,7,243,2,15,3,1,0,3,27,10,14,16,25,7,14,22,31,18,9,11,0,0,0,7,0,1,2,64,1,1,0,clean
30,0,1,1,36,5,11,902895,902922,145851,16,1,7,8.33716,0,2,5,2,3,1,3,6.94925,93.015,0.035705,525,7,292.75,18,15,1,0,1,2,7,6,13,6,11,8,2,11,16,8,7,7,0,0,0,4,2,0,0,29,2,0,0,clean
124,6,7,5,122,18,30,16962,33892,1118228,42,33,78,88.5288,0,3,8,5,12,1,2,6.97984,92.9219,0.098217,1941,3,44,1,25,14,4,4,5,39,19,38,32,46,25,12,44,59,28,23,30,0,0,1,26,1,1,5,121,2,2,0,clean
12,0,1,1,14,12,17,86614,255027,12505533,7,15,50,12.6795,0,2,3,1,3,3,7,58.9893,13.9352,27.0755,185,27,524.5,268,4,0,0,2,0,4,1,6,2,3,5,1,4,6,4,2,3,0,0,0,2,1,1,1,11,1,0,0,clean
133,4,8,5,99,27,55,7,9,444750,33,0,0,28.4165,0,6,5,8,7,0,5,0.006883,99.9812,0.011916,379,7,198.364,52,4,6,5,4,5,43,22,45,32,50,29,15,49,60,23,14,18,0,1,1,21,3,4,6,127,6,1,1,buggy
59,2,1,3,58,21,55,403,6270,185121,18,3,13,26.0621,0,2,3,3,5,8,8,31.9465,66.3293,1.72412,696,5,271.4,10,10,4,1,3,2,22,11,16,13,23,11,9,20,30,12,9,13,0,0,1,8,1,2,2,57,3,1,0,clean
71,1,1,2,84,18,33,86182,88484,4279837,47,8,26,19.5051,0,2,2,1,2,10,4,1.99995,97.9263,0.073728,1203,2,25.5,5,22,3,1,2,5,27,12,13,17,28,6,10,26,40,20,14,17,0,0,1,7,0,1,1,70,0,2,0,clean
66,4,5,5,55,23,38,2894639,2900187,35437,31,0,0,34.4674,0,2,3,1,1,0,2,0.062111,99.9378,0.000114,962,7,243,2,15,3,1,0,3,27,10,14,16,25,7,14,22,31,18,9,11,0,0,0,7,0,1,2,64,1,1,0,clean
66,4,5,5,55,23,38,85192,336675,6729,31,0,0,90.8553,0,5,5,2,3,0,2,0.062111,99.9378,0.000114,962,7,243,2,15,3,1,0,3,27,10,14,16,25,7,14,22,31,18,9,11,0,0,0,7,0,1,2,64,1,1,0,clean
66,4,5,5,55,23,38,1319,5585,7413,31,0,0,110.211,0,5,22,23,20,0,2,0.062111,99.9378,0.000114,962,7,243,2,15,3,1,0,3,27,10,14,16,25,7,14,22,31,18,9,11,0,0,0,7,0,1,2,64,1,1,0,clean
2,0,0,0,1,2,3,68870,0,0,1,0,0,5.94845,3.4574,2,3,2,2,1,3,99.9645,0.017438,0.018024,24,0,190,4,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,clean
3,0,0,0,3,2,4,0,0,0,2,0,0,3.94058,0,2,6,1,2,0,3,83.2553,16.2045,0.540151,45,0,1,1,2,0,0,0,0,1,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,clean
3,0,0,0,3,2,4,40747,42275,4171240,2,0,0,35.2311,0,3,10,2,7,0,3,83.2553,16.2045,0.540151,45,0,1,1,2,0,0,0,0,1,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,clean
14,0,0,0,19,8,17,2289,8752,34502,5,0,0,12.5565,5.46129,2,12,4,6,2,8,0.05005,99.945,0.00495,212,0,455,14,4,0,1,1,1,3,1,7,4,3,5,1,6,10,3,2,4,0,0,0,3,0,0,1,14,0,1,0,clean
84,1,2,1,83,25,38,162550,162550,37903,20,0,0,33.1274,0,2,4,2,2,4,6,0.28265,99.689,0.028343,1239,0,321.5,8,10,3,4,4,6,22,8,29,25,28,18,1,37,43,17,13,15,0,0,0,16,0,0,1,83,0,0,0,clean
21,314,1,0,17,3,10,73489,291518,9538290,323,20,450,19.9442,0,2,4,2,3,5,2,20.1859,79.8141,0,1564,44,5,1,6,1,1,0,0,3,7,4,6,2,1,9,8,316,5,1,11,0,0,0,2,0,0,1,19,0,0,0,clean
16,2,2,1,26,7,20,2794449,2794495,148941,5,0,0,17.6115,0,5,2,7,5,3,2,0.609847,99.3902,0,284,0,30,1,5,2,0,1,0,6,6,3,3,5,1,7,6,14,6,3,7,0,1,0,2,1,0,1,16,1,0,1,clean
22,26,9,5,43,4,11,442766,487173,0,43,0,0,51.9605,0,2,5,2,4,140,5,1.76055,97.8362,0.403272,607,43,366,6,7,3,0,1,1,9,5,4,4,8,2,5,7,43,12,10,18,0,0,0,5,0,0,5,17,0,0,0,clean
48,22,7,7,55,12,19,150859,150918,4920858,34,0,0,36.4462,0,2,3,1,3,17,4,2.08561,97.7903,0.124062,420,4,36.25,6,8,1,2,4,5,18,10,11,16,17,8,9,20,35,19,17,20,0,0,1,11,3,2,3,46,4,2,1,buggy
22,2,3,3,28,6,13,1204,2936,29754,10,9,22,8.4423,0,4,4,4,6,5,5,9.10673,90.6072,0.286021,90,0,4.28571,2,2,1,1,3,2,9,6,8,5,10,5,4,10,12,8,7,8,1,1,1,4,3,3,2,20,4,1,1,buggy
14,0,0,0,10,6,10,1364223,1368186,257202,6,0,0,20.7067,0,3,8,6,4,3,5,20.6096,77.7939,1.59652,190,8,0,1,6,0,0,0,0,3,1,8,1,4,4,1,5,4,4,1,1,0,0,0,0,0,0,0,13,0,0,0,clean
15,0,1,0,18,7,15,0,0,6391167,8,0,0,3.78584,0.373875,2,3,1,2,1,3,0.068195,99.9025,0.029356,115,20,168.5,9,3,2,2,0,0,5,1,2,7,6,1,2,6,12,1,2,5,0,0,1,2,1,1,1,13,1,0,0,buggy
5,0,0,0,5,4,5,194819,1556830,3201716,3,3,4,5.76006,4.70956,2,5,4,5,0,2,13.438,86.562,0,81,0,1,1,3,0,0,0,0,2,1,2,1,2,1,1,3,2,1,0,0,0,0,0,1,0,0,0,5,0,0,0,clean
138,80,11,11,119,59,75,79,580,1945,115,2,10,18.461,0,2,4,2,3,9,5,4.04906,91.3066,4.64435,1600,1,383.143,16,10,5,4,7,13,32,12,40,56,32,35,9,64,149,22,18,30,0,0,0,29,1,1,1,137,1,0,0,buggy
9,0,1,1,11,9,24,101,383,9010,3,1,6,9.26387,0,5,10,7,11,3,3,15.5217,74.9879,9.49033,132,5,515.25,19,2,1,0,0,1,3,1,4,2,3,3,0,3,8,2,2,2,0,0,0,1,0,0,1,9,0,1,0,clean
2,0,0,0,1,2,3,0,0,3310704,1,1,1,28.5408,0,2,2,2,2,0,5,21.0728,20.3065,58.6207,12,0,0,1,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,buggy
46,2,2,2,46,15,32,2246433,2264836,2571921,17,11,37,11.383,0,2,2,1,2,0,12,1.18785,96.6446,2.16757,785,25,518,2,12,1,4,4,2,16,6,16,10,17,10,6,15,20,11,8,13,0,1,0,10,1,0,1,46,1,1,1,clean
5,0,0,0,11,2,5,826378,1652569,7,7,2,6,53.2111,0,2,2,1,1,6,7,5.73212,94.0638,0.204095,120,0,25,2,5,0,0,1,1,2,2,1,0,2,0,1,2,5,1,1,4,0,0,0,2,0,0,0,5,0,0,0,clean
5,0,0,0,11,2,5,911612,1823041,3922266,7,2,6,38.0367,0,2,3,1,1,6,7,5.73212,94.0638,0.204095,120,0,25,2,5,0,0,1,1,2,2,1,0,2,0,1,2,5,1,1,4,0,0,0,2,0,0,0,5,0,0,0,clean
8,120,7,5,5,2,4,0,0,0,139,0,0,3.54535,0,0,2,1,1,103,3,97.1041,2.8955,0.000385,645,0,793,1,4,0,0,0,1,1,2,5,2,2,1,1,6,110,12,10,5,0,0,0,1,0,0,5,5,0,2,0,clean
7,0,0,0,5,5,9,365,7106,107220,3,3,5,26.929,0,3,4,4,8,4,4,49.6604,27.2377,23.1019,81,4,481.8,8,2,1,0,0,0,2,2,2,1,2,1,1,3,3,1,1,1,0,0,0,1,0,0,0,7,0,0,0,clean
186,131,15,15,151,59,75,46250,46250,1504,179,0,0,36.8821,0,10,15,18,8,3,5,0.044999,99.9522,0.002811,2234,2,668.75,25,14,7,5,10,19,39,17,54,79,40,50,12,88,218,26,23,44,0,0,0,41,1,1,1,185,1,0,0,clean
