@relation 'data/final_7030.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R6-15,18,20-24,27-29,37-40,42-43,46-48,68-69,71-76,84-91,93-94,100,102-104,106-107,109-111,113'

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute AvgLineComment numeric
@attribute LOC_ADDED numeric
@attribute CountStmtDecl numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute WEIGHTD_AGE numeric
@attribute MaxCyclomaticModified numeric
@attribute CntDeclMethodDefault numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute PcntLackOfCohesion numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute REFACTORINGS numeric
@attribute CountSemicolon numeric
@attribute class {buggy,clean}

@data
1,42,52,9,10,0,707,63,17.1875,16,266,0,8,36,36,22.759548,2,0,49,0,68,0,204,531,105,4,0,97,42,0,42,6.5625,298,275,0,1,2,1,36,0,2,1,5,2.6,5,0,16.625,409,115,36,1,1,777,42,1,1,74,clean
4,46,76,5,227,0.32,25,69,0.255814,43,10,3,11,15,21,120.080002,6,0,47,2,79,0,182,76,13,3,4,60,46,0,29,0.302326,22,11,3,3,6,1,29,43,7,2,8.68,0.42,7.36,20,0.232558,3,145,21,2,2,281,49,2,0,105,clean
1,8,15,2,51,0,12,23,0.75,8,2,2,5,3,5,12,2,0,18,0,19,0,55,7,6,2,0,27,8,0,12,0.75,10,6,0,2,2,1,5,0,3,1,8,0.13,8,5,0.25,2,38,5,1,1,74,9,1,0,29,clean
1,26,48,4,21,1,202,39,4.571429,28,127,0,2,10,13,75.797028,6,2,26,1,50,0,115,170,16,5,2,37,26,0,22,0.571429,52,128,1,2,6,1,13,76,6,2,9,1.48,8,12,4.535714,150,87,13,1,2,307,27,2,0,64,clean
2,4,4,2,21,0,13,12,2,5,10,3,5,1,4,6.307693,1,0,30,0,4,0,26,11,1,1,0,16,4,0,6,0.2,3,10,0,4,1,1,4,0,1,1,3.93,0.42,3.93,4,2,10,16,4,2,1,42,4,1,0,10,clean
2,12,23,2,21,0.97,7,28,1.2,5,0,3,10,1,5,16.142857,6,0,31,0,26,0.48,72,23,6,1,2,32,12,0,14,1.2,7,6,1,4,6,1,5,50,9,3,14.13,0.32,12.68,5,0,0,51,5,2,2,103,15,2,0,37,clean
1,1,11,8,90,2,13,6,0.133333,15,2,0,8,1,1,46.846153,1,0,14,0,11,0,19,12,2,4,0,6,1,0,3,0.133333,8,2,0,1,1,1,1,0,1,1,16,0.63,14,0,0.133333,5,17,1,1,1,34,1,1,0,15,clean
2,4,4,1,21,0.47,13,11,2.5,4,10,3,6,1,4,6.769231,1,0,30,0,4,0,25,12,2,1,0,15,4,0,8,0.5,3,10,0,4,1,1,4,0,1,1,3.47,0.48,3.47,4,2.5,10,15,4,2,1,43,4,1,0,9,clean
1,4,8,2,29,0,1,14,0.25,4,0,2,4,2,4,3,1,0,17,0,8,1,33,7,1,2,0,20,4,0,12,0.25,1,1,0,2,1,1,4,0,1,1,7,0.21,6,4,0,0,22,4,1,1,52,4,1,0,17,clean
2,4,4,2,21,0,2,13,0.333333,3,0,3,5,1,4,14,1,0,30,0,4,0,27,18,1,1,0,17,4,0,8,0.333333,2,1,0,4,1,1,4,0,1,1,3.93,0.67,3.93,4,0,0,17,4,2,1,52,4,1,0,11,clean
