@relation 'data/final_7030.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R4-5,17,25-26,30,35,53-54,60-62,83,92,108-weka.filters.unsupervised.attribute.Remove-R4-13,15,17-24,30-33,35-36,39-41,56-57,59-64,71-80,86,88-90,92-96,98'

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute AvgLineComment numeric
@attribute CountStmtDecl numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute MaxCyclomaticModified numeric
@attribute CntDeclMethodDefault numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute PcntLackOfCohesion numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute CountSemicolon numeric
@attribute class {buggy,clean}

@data
1,42,52,0,63,0,8,36,36,2,0,49,0,68,0,204,531,0,97,42,0,42,0,1,2,1,36,0,2,1,5,2.6,5,0,115,36,1,1,777,42,1,74,clean
4,46,76,0.32,69,3,11,15,21,6,0,47,2,79,0,182,76,4,60,46,0,29,3,3,6,1,29,43,7,2,8.68,0.42,7.36,20,145,21,2,2,281,49,2,105,clean
1,8,15,0,23,2,5,3,5,2,0,18,0,19,0,55,7,0,27,8,0,12,0,2,2,1,5,0,3,1,8,0.13,8,5,38,5,1,1,74,9,1,29,clean
1,26,48,1,39,0,2,10,13,6,2,26,1,50,0,115,170,2,37,26,0,22,1,2,6,1,13,76,6,2,9,1.48,8,12,87,13,1,2,307,27,2,64,clean
2,4,4,0,12,3,5,1,4,1,0,30,0,4,0,26,11,0,16,4,0,6,0,4,1,1,4,0,1,1,3.93,0.42,3.93,4,16,4,2,1,42,4,1,10,clean
2,12,23,0.97,28,3,10,1,5,6,0,31,0,26,0.48,72,23,2,32,12,0,14,1,4,6,1,5,50,9,3,14.13,0.32,12.68,5,51,5,2,2,103,15,2,37,clean
1,1,11,2,6,0,8,1,1,1,0,14,0,11,0,19,12,0,6,1,0,3,0,1,1,1,1,0,1,1,16,0.63,14,0,17,1,1,1,34,1,1,15,clean
2,4,4,0.47,11,3,6,1,4,1,0,30,0,4,0,25,12,0,15,4,0,8,0,4,1,1,4,0,1,1,3.47,0.48,3.47,4,15,4,2,1,43,4,1,9,clean
1,4,8,0,14,2,4,2,4,1,0,17,0,8,1,33,7,0,20,4,0,12,0,2,1,1,4,0,1,1,7,0.21,6,4,22,4,1,1,52,4,1,17,clean
2,4,4,0,13,3,5,1,4,1,0,30,0,4,0,27,18,0,17,4,0,8,0,4,1,1,4,0,1,1,3.93,0.67,3.93,4,17,4,2,1,52,4,1,11,clean
