@relation 'data/final_7030.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R1-3,6-16,18-24,27-29,31-34,36-52,55-59,63-82,84-91,93-107,109-113'

@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute LOC_ADDED numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute WEIGHTD_AGE numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute REFACTORINGS numeric
@attribute class {buggy,clean}

@data
9,10,707,17.1875,16,266,22.759548,105,4,6.5625,298,275,16.625,409,1,clean
5,227,25,0.255814,43,10,120.080002,13,3,0.302326,22,11,0.232558,3,0,clean
2,51,12,0.75,8,2,12,6,2,0.75,10,6,0.25,2,0,clean
4,21,202,4.571429,28,127,75.797028,16,5,0.571429,52,128,4.535714,150,0,clean
2,21,13,2,5,10,6.307693,1,1,0.2,3,10,2,10,0,clean
2,21,7,1.2,5,0,16.142857,6,1,1.2,7,6,0,0,0,clean
8,90,13,0.133333,15,2,46.846153,2,4,0.133333,8,2,0.133333,5,0,clean
1,21,13,2.5,4,10,6.769231,2,1,0.5,3,10,2.5,10,0,clean
2,29,1,0.25,4,0,3,1,2,0.25,1,1,0,0,0,clean
2,21,2,0.333333,3,0,14,1,1,0.333333,2,1,0,0,0,clean
2,21,4,1,3,0,15.5,3,1,1,4,3,0,0,0,clean
4,40,18,1,7,3,22.888889,7,2,1,11,7,0.428571,7,0,clean
3,50,27,1.428572,7,10,23.666666,13,3,1.857143,24,10,1.428572,3,0,clean
9,100,0,0,15,0,0,0,2,0,0,0,0,0,0,clean
16,44,211,2.923077,26,69,37.251186,33,2,1.269231,105,76,2.653846,106,0,clean
0,114,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
0,114,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
1,151,0,0,4,0,0,0,1,0,0,0,0,0,0,clean
4,51,0,0,8,0,0,0,2,0,0,0,0,0,0,buggy
6,64,98,8.375,8,62,141.326538,8,1,1,28,67,7.75,70,0,clean
2,55,0,0,6,0,0,0,2,0,0,0,0,0,0,clean
11,99,0,0,24,0,0,0,3,0,0,0,0,0,0,clean
3,29,8,0.6,5,0,14,4,2,0.8,9,3,0,-1,0,clean
4,29,16,1.4,5,3,16.1875,6,2,1.2,12,7,0.6,4,0,clean
3,29,12,3.666667,3,4,27.5,7,2,2.333333,8,11,1.333333,4,0,clean
