@relation data/final_7030.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute metrics29 numeric
@attribute metrics28 numeric
@attribute metrics27 numeric
@attribute metrics26 numeric
@attribute metrics25 numeric
@attribute metrics24 numeric
@attribute metrics23 numeric
@attribute metrics22 numeric
@attribute metrics21 numeric
@attribute metrics20 numeric
@attribute AvgLineComment numeric
@attribute LOC_ADDED numeric
@attribute metrics9 numeric
@attribute CountStmtDecl numeric
@attribute metrics8 numeric
@attribute metrics7 numeric
@attribute metrics6 numeric
@attribute metrics5 numeric
@attribute metrics4 numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute metrics3 numeric
@attribute metrics2 numeric
@attribute metrics1 numeric
@attribute MAX_CODECHURN numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute WEIGHTD_AGE numeric
@attribute MaxCyclomaticModified numeric
@attribute metrics19 numeric
@attribute metrics18 numeric
@attribute metrics16 numeric
@attribute metrics15 numeric
@attribute CntDeclMethodDefault numeric
@attribute metrics14 numeric
@attribute metrics13 numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute metrics12 numeric
@attribute metrics11 numeric
@attribute metrics10 numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute metrics57 numeric
@attribute metrics56 numeric
@attribute PcntLackOfCohesion numeric
@attribute metrics55 numeric
@attribute metrics54 numeric
@attribute metrics53 numeric
@attribute metrics52 numeric
@attribute metrics51 numeric
@attribute metrics50 numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute AVE_CODECHURN numeric
@attribute metrics49 numeric
@attribute metrics48 numeric
@attribute metrics47 numeric
@attribute metrics46 numeric
@attribute metrics45 numeric
@attribute metrics44 numeric
@attribute metrics43 numeric
@attribute metrics42 numeric
@attribute CODECHURN numeric
@attribute metrics41 numeric
@attribute metrics40 numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute metrics39 numeric
@attribute SumCyclomaticStrict numeric
@attribute metrics38 numeric
@attribute metrics37 numeric
@attribute metrics36 numeric
@attribute AvgCyclomatic numeric
@attribute metrics35 numeric
@attribute metrics34 numeric
@attribute REFACTORINGS numeric
@attribute metrics33 numeric
@attribute metrics32 numeric
@attribute metrics31 numeric
@attribute CountSemicolon numeric
@attribute metrics30 numeric
@attribute class {buggy,clean}

@data
1,42,52,9,10,49,2,2,4,51,14,25,46,46,65,0,707,12,63,8,49,15.6034,0,12,17.1875,16,3,6,10,266,0,8,36,36,22.759548,2,8,6,12.8336,85.956,0,1.21044,810,49,0,0,2,1,68,0,204,531,105,4,0,97,42,0,42,6.5625,298,275,0,1,2,1,36,7,0,0,1,0,4,17,4,13,2,1,5,2.6,5,0,16.625,19,15,8,7,23,35,12,6,409,5,0,115,36,1,1,777,0,42,0,6,1,1,1,1,1,49,2,1,74,0,clean
4,46,76,5,227,4,4,2,1,4,3,5,135987,899470,1596476,0.32,25,6,69,0,0,33.924,0,2,0.255814,43,4,3,2,10,3,11,15,21,120.080002,6,0,4,0.020271,99.9797,0,0,97,47,2,0,837,11,79,0,182,76,13,3,4,60,46,0,29,0.302326,22,11,3,3,6,1,29,1,0,43,0,0,0,1,0,1,7,2,8.68,0.42,7.36,20,0.232558,1,1,1,0,2,5,2,2,3,2,0,145,21,2,2,281,0,49,0,0,0,2,0,1,0,2,0,0,105,0,clean
1,8,15,2,51,22,0,1,0,30,7,15,435455,433690,0,0,12,10,23,0,0,86.7781,0,3,0.75,8,3,6,2,2,2,5,3,5,12,2,2,8,0.799568,96.4745,0,2.72595,404,18,0,4,25,3,19,0,55,7,6,2,0,27,8,0,12,0.75,10,6,0,2,2,1,5,7,3,0,0,0,2,6,3,8,3,1,8,0.13,8,5,0.25,5,7,6,2,7,18,4,3,2,6,0,38,5,1,1,74,0,9,0,5,0,1,0,0,0,22,0,0,29,0,clean
1,26,48,4,21,1,0,0,0,0,1,1,3114694,6229388,6229427,1,202,1,39,2,0,2.56972,0,0,4.571429,28,2,1,1,127,0,2,10,13,75.797028,6,1,2,94.5833,0,2,5.41667,12,26,1,0,0,1,50,0,115,170,16,5,2,37,26,0,22,0.571429,52,128,1,2,6,1,13,1,0,76,0,0,0,0,1,0,6,2,9,1.48,8,12,4.535714,0,0,0,1,0,0,0,0,150,0,0,87,13,1,2,307,0,27,0,0,0,2,0,0,0,1,0,0,64,0,clean
2,4,4,2,21,78,8,3,1,38,19,23,1300034,1300000,1795,0,13,25,12,0,0,1.03534,0.596386,6,2,5,11,1,5,10,3,5,1,4,6.307693,1,23,9,96.8163,3.17881,0,0.004878,1321,30,0,0,797,20,4,0,26,11,1,1,0,16,4,0,6,0.2,3,10,0,4,1,1,4,16,2,0,1,0,1,18,10,39,1,1,3.93,0.42,3.93,4,2,19,23,30,6,27,32,6,2,10,8,0,16,4,2,1,42,0,4,0,6,5,1,1,2,0,76,6,0,10,0,clean
2,12,23,2,21,78,8,3,1,38,19,23,1300306,1300306,80,0.97,7,25,28,0,0,12.0765,3.67008,196,1.2,5,15,4,19,0,3,10,1,5,16.142857,6,23,9,96.8163,3.17881,0,0.004878,1321,31,0,0,797,20,26,0.48,72,23,6,1,2,32,12,0,14,1.2,7,6,1,4,6,1,5,16,2,50,1,0,1,18,10,39,9,3,14.13,0.32,12.68,5,0,19,23,30,6,27,32,6,2,0,8,0,51,5,2,2,103,0,15,0,6,5,2,1,2,0,76,6,0,37,0,clean
1,1,11,8,90,42,37,42,42,114,8,36,458331,458331,1622789,2,13,180,6,14,411,49.5838,0,2,0.133333,15,3,1,2,2,0,8,1,1,46.846153,1,370,6,35.9953,62.5776,0,1.42705,1660,14,0,1,41.7143,3,11,0,19,12,2,4,0,6,1,0,3,0.133333,8,2,0,1,1,1,1,10,6,0,2,1,3,8,7,10,1,1,16,0.63,14,0,0.133333,17,10,6,6,20,199,11,10,5,17,0,17,1,1,1,34,0,1,0,11,0,1,0,0,0,42,1,0,15,0,clean
2,4,4,1,21,78,8,3,1,38,19,23,1300453,1300436,98,0.47,13,25,11,0,0,3.05921,1.34887,35,2.5,4,12,4,6,10,3,6,1,4,6.769231,1,23,9,96.8163,3.17881,0,0.004878,1321,30,0,0,797,20,4,0,25,12,2,1,0,15,4,0,8,0.5,3,10,0,4,1,1,4,16,2,0,1,0,1,18,10,39,1,1,3.47,0.48,3.47,4,2.5,19,23,30,6,27,32,6,2,10,8,0,15,4,2,1,43,0,4,0,6,5,1,1,2,0,76,6,0,9,0,clean
1,4,8,2,29,29,1,1,2,66,7,32,4967,4967,30,0,1,13,14,9,65,14.9626,3.92181,44,0.25,4,15,7,38,0,2,4,2,4,3,1,26,3,58.3313,41.6367,0,0.032019,730,17,0,0,80.3333,4,8,1,33,7,1,2,0,20,4,0,12,0.25,1,1,0,2,1,1,4,7,12,0,1,0,0,8,3,8,1,1,7,0.21,6,4,0,12,9,5,2,14,53,5,4,0,8,0,22,4,1,1,52,0,4,0,13,0,1,1,0,0,29,1,0,17,0,clean
2,4,4,2,21,78,8,3,1,38,19,23,1300805,1300805,105,0,2,25,13,0,0,4.2258,0,51,0.333333,3,6,3,13,0,3,5,1,4,14,1,23,9,96.8163,3.17881,0,0.004878,1321,30,0,0,797,20,4,0,27,18,1,1,0,17,4,0,8,0.333333,2,1,0,4,1,1,4,16,2,0,1,0,1,18,10,39,1,1,3.93,0.67,3.93,4,0,19,23,30,6,27,32,6,2,0,8,0,17,4,2,1,52,0,4,0,6,5,1,1,2,0,76,6,0,11,0,clean
1,7,20,2,21,78,8,3,1,38,19,23,387,387,6955603,0,4,25,16,0,0,2.54436,0.426936,20,1,3,14,3,11,0,0,5,3,3,15.5,3,23,9,96.8163,3.17881,0,0.004878,1321,23,2,0,797,20,22,0,49,20,3,1,2,19,7,0,11,1,4,3,0,3,3,1,5,16,2,50,1,0,1,18,10,39,3,2,11,0.41,11,3,0,19,23,30,6,27,32,6,2,0,8,0,36,3,1,2,77,0,8,0,6,5,2,1,2,0,76,6,0,28,0,clean
1,5,10,4,40,168,35,23,24,268,20,34,1980,2585,842,0,18,154,23,55,268,159.641,0,9,1,7,3,1,3,3,0,8,5,5,22.888889,1,80,33,0.689106,99.0952,0,0.21569,3590,23,0,3,56,17,10,0,44,20,7,2,7,28,5,0,17,1,11,7,0,2,1,1,5,53,4,80,6,9,7,50,33,50,1,1,4,0.45,4,5,0.428571,40,59,30,21,63,187,58,48,7,52,0,33,5,1,1,74,0,5,0,31,0,1,0,0,0,168,0,0,27,0,clean
20,33,102,3,50,67,57,11,11,106,39,61,539,539,5481112,0,27,81,102,73,112,9.1526,0,15,1.428572,7,16,5,10,10,4,42,17,24,23.666666,3,49,5,76.4652,23.5284,0,0.006413,1631,167,14,0,4265.25,82,129,0.66,261,28,13,3,0,103,33,0,38,1.857143,24,10,3,11,3,1,24,9,50,11.64,2,1,6,29,5,9,3,1,9.93,0.11,9.16,22,1.428572,28,31,6,3,30,147,8,9,3,20,0,204,24,11,1,326,0,33,0,58,2,1,2,2,0,66,4,0,169,0,clean
