@relation 'data/final_7030.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R4-5,17,25-26,30,35,53-54,60-62,83,92,108-weka.filters.unsupervised.attribute.Remove-R1-3,14,16,25-29,34,37-38,42-55,58,65-70,81-85,87,91,97'

@attribute metrics29 numeric
@attribute metrics28 numeric
@attribute metrics27 numeric
@attribute metrics26 numeric
@attribute metrics25 numeric
@attribute metrics24 numeric
@attribute metrics23 numeric
@attribute metrics22 numeric
@attribute metrics21 numeric
@attribute metrics20 numeric
@attribute metrics9 numeric
@attribute metrics8 numeric
@attribute metrics7 numeric
@attribute metrics6 numeric
@attribute metrics5 numeric
@attribute metrics4 numeric
@attribute metrics3 numeric
@attribute metrics2 numeric
@attribute metrics1 numeric
@attribute metrics19 numeric
@attribute metrics18 numeric
@attribute metrics16 numeric
@attribute metrics15 numeric
@attribute metrics14 numeric
@attribute metrics13 numeric
@attribute metrics12 numeric
@attribute metrics11 numeric
@attribute metrics10 numeric
@attribute metrics57 numeric
@attribute metrics56 numeric
@attribute metrics55 numeric
@attribute metrics54 numeric
@attribute metrics53 numeric
@attribute metrics52 numeric
@attribute metrics51 numeric
@attribute metrics50 numeric
@attribute metrics49 numeric
@attribute metrics48 numeric
@attribute metrics47 numeric
@attribute metrics46 numeric
@attribute metrics45 numeric
@attribute metrics44 numeric
@attribute metrics43 numeric
@attribute metrics42 numeric
@attribute metrics41 numeric
@attribute metrics40 numeric
@attribute metrics39 numeric
@attribute metrics38 numeric
@attribute metrics37 numeric
@attribute metrics36 numeric
@attribute metrics35 numeric
@attribute metrics34 numeric
@attribute metrics33 numeric
@attribute metrics32 numeric
@attribute metrics31 numeric
@attribute metrics30 numeric
@attribute class {buggy,clean}

@data
49,2,2,4,51,14,25,46,46,65,12,8,49,15.6034,0,12,3,6,10,8,6,12.8336,85.956,1.21044,810,0,2,1,7,0,1,0,4,17,4,13,19,15,8,7,23,35,12,6,5,0,0,0,6,1,1,1,49,2,1,0,clean
4,4,2,1,4,3,5,135987,899470,1596476,6,0,0,33.924,0,2,4,3,2,0,4,0.020271,99.9797,0,97,0,837,11,1,0,0,0,0,1,0,1,1,1,1,0,2,5,2,2,2,0,0,0,0,0,0,1,2,0,0,0,clean
22,0,1,0,30,7,15,435455,433690,0,10,0,0,86.7781,0,3,3,6,2,2,8,0.799568,96.4745,2.72595,404,4,25,3,7,3,0,0,2,6,3,8,5,7,6,2,7,18,4,3,6,0,0,0,5,0,0,0,22,0,0,0,clean
1,0,0,0,0,1,1,3114694,6229388,6229427,1,2,0,2.56972,0,0,2,1,1,1,2,94.5833,0,5.41667,12,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,clean
78,8,3,1,38,19,23,1300034,1300000,1795,25,0,0,1.03534,0.596386,6,11,1,5,23,9,96.8163,3.17881,0.004878,1321,0,797,20,16,2,1,0,1,18,10,39,19,23,30,6,27,32,6,2,8,0,0,0,6,5,1,2,76,6,0,0,clean
78,8,3,1,38,19,23,1300306,1300306,80,25,0,0,12.0765,3.67008,196,15,4,19,23,9,96.8163,3.17881,0.004878,1321,0,797,20,16,2,1,0,1,18,10,39,19,23,30,6,27,32,6,2,8,0,0,0,6,5,1,2,76,6,0,0,clean
42,37,42,42,114,8,36,458331,458331,1622789,180,14,411,49.5838,0,2,3,1,2,370,6,35.9953,62.5776,1.42705,1660,1,41.7143,3,10,6,2,1,3,8,7,10,17,10,6,6,20,199,11,10,17,0,0,0,11,0,0,0,42,1,0,0,clean
78,8,3,1,38,19,23,1300453,1300436,98,25,0,0,3.05921,1.34887,35,12,4,6,23,9,96.8163,3.17881,0.004878,1321,0,797,20,16,2,1,0,1,18,10,39,19,23,30,6,27,32,6,2,8,0,0,0,6,5,1,2,76,6,0,0,clean
29,1,1,2,66,7,32,4967,4967,30,13,9,65,14.9626,3.92181,44,15,7,38,26,3,58.3313,41.6367,0.032019,730,0,80.3333,4,7,12,1,0,0,8,3,8,12,9,5,2,14,53,5,4,8,0,0,0,13,0,1,0,29,1,0,0,clean
78,8,3,1,38,19,23,1300805,1300805,105,25,0,0,4.2258,0,51,6,3,13,23,9,96.8163,3.17881,0.004878,1321,0,797,20,16,2,1,0,1,18,10,39,19,23,30,6,27,32,6,2,8,0,0,0,6,5,1,2,76,6,0,0,clean
78,8,3,1,38,19,23,387,387,6955603,25,0,0,2.54436,0.426936,20,14,3,11,23,9,96.8163,3.17881,0.004878,1321,0,797,20,16,2,1,0,1,18,10,39,19,23,30,6,27,32,6,2,8,0,0,0,6,5,1,2,76,6,0,0,clean
168,35,23,24,268,20,34,1980,2585,842,154,55,268,159.641,0,9,3,1,3,80,33,0.689106,99.0952,0.21569,3590,3,56,17,53,4,6,9,7,50,33,50,40,59,30,21,63,187,58,48,52,0,0,0,31,0,0,0,168,0,0,0,clean
67,57,11,11,106,39,61,539,539,5481112,81,73,112,9.1526,0,15,16,5,10,49,5,76.4652,23.5284,0.006413,1631,0,4265.25,82,9,50,2,1,6,29,5,9,28,31,6,3,30,147,8,9,20,0,0,0,58,2,2,2,66,4,0,0,clean
89,18,12,12,141,20,34,161909,161910,0,81,28,134,28.6577,0,5,2,2,3,41,21,4.82475,93.5328,1.6425,1890,2,28.5,9,29,3,4,5,4,26,17,28,21,32,17,11,33,96,31,26,28,0,0,0,17,0,0,1,88,0,0,0,clean
75,10,6,6,129,20,50,530872,531481,5180864,49,17,81,51.8069,0,6,2,2,3,50,14,21.3518,53.3268,25.3214,1292,2,537.167,47,11,77,2,2,2,38,10,15,13,41,10,8,19,103,17,15,16,0,0,0,84,0,0,1,74,0,0,0,clean
127,4,3,1,86,14,24,174063,174063,1544,32,8,25,23.7538,0,2,5,5,5,2,4,11.9983,86.977,1.02471,1784,3,155.25,2,21,2,3,3,5,32,12,45,38,35,38,8,45,43,21,17,14,0,0,1,11,0,1,3,124,1,0,0,clean
111,4,4,3,87,17,29,19390,77532,221643,31,15,38,17.7522,0,4,4,3,6,2,3,15.9142,83.0338,1.05202,1614,2,106.429,2,19,7,3,3,4,31,13,37,31,35,29,9,39,42,21,18,18,0,0,1,16,0,1,3,109,1,1,0,clean
15,0,1,1,20,4,13,139591,136071,0,8,6,21,18.8718,0,2,7,2,4,6,10,35.1488,60.7524,4.09882,231,0,0,1,6,0,0,2,1,5,5,4,2,4,5,3,3,10,4,5,3,0,0,0,3,0,0,0,16,0,0,0,clean
90,18,12,13,145,20,34,7386,13440,1230829,83,33,138,120.722,0,5,5,2,5,41,19,29.952,68.7093,1.33872,1287,2,18.6667,9,19,3,3,6,4,29,18,25,22,32,17,12,33,98,31,27,30,0,0,0,18,0,1,0,90,1,0,0,buggy
5,1,0,1,4,2,13,2029541,4009538,8312270,3,25,12,7.12624,4.91313,2,5,1,3,7,6,46.9032,5.35478,47.742,116,0,168,4,2,21,0,0,1,4,0,0,1,4,1,1,1,3,1,2,1,0,0,0,21,1,1,0,4,1,0,0,clean
22,1,0,0,16,9,14,5051712,5051711,0,10,0,0,13.9284,0,1,4,1,2,9,3,48.9362,50,1.06383,340,0,1,1,7,3,0,1,0,7,5,6,4,8,3,3,8,10,4,3,2,0,0,1,1,0,2,2,20,1,1,0,clean
17,2,1,1,26,5,7,8687927,8715031,2893258,14,2,8,27.4386,0,2,2,1,1,1,4,5.28833,94.2971,0.414523,355,8,2,2,11,0,1,1,1,6,4,6,4,7,5,3,6,13,6,6,5,0,0,0,3,1,1,2,15,2,1,0,clean
46,0,1,1,94,4,37,78431,85929,0,8,160,150,54.7822,0,7,2,2,2,39,9,0.652528,0.373996,98.9735,1802,0,74,6,4,121,0,1,1,37,2,2,5,38,1,0,7,91,0,1,4,0,0,0,123,0,0,0,46,0,0,0,clean
46,0,1,1,94,4,37,11,11,2784482,8,160,150,126.592,0,15,2,4,5,39,9,0.652528,0.373996,98.9735,1802,0,74,6,4,121,0,1,1,37,2,2,5,38,1,0,7,91,0,1,4,0,0,0,123,0,0,0,46,0,0,0,clean
