@relation 'data/final_8020_regression.csv-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R100-weka.filters.unsupervised.attribute.Remove-R115-weka.filters.unsupervised.attribute.Remove-R1-3,7-17,19-25,28-30,32-35,37-53,56-60,64-83,85-92,94-108,110-114'

@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute postbugs numeric
@attribute LOC_ADDED numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute WEIGHTD_AGE numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute REFACTORINGS numeric

@data
0,70,0,1,0.5,2,0,70,1,1,0.5,1,1,0,0,0
3,91,0,31,2.714286,7,11,86.838707,8,3,1.142857,19,19,1.571429,12,0
2,96,0,427,10.941176,17,186,94.763466,95,3,5.588235,125,186,10.941176,302,0
4,91,0,57,2.222222,9,20,84.368423,11,3,1.222222,22,20,2.222222,35,0
6,91,0,91,1.727273,11,14,87.384613,120,3,10.909091,177,19,1.272727,-86,0
20,18,0,935,1.204969,161,127,77.765778,194,6,1.204969,584,194,0.78882,351,0
2,96,0,458,9.285714,21,195,95.037117,11,2,0.52381,51,195,9.285714,407,0
6,91,0,657,36.846153,13,309,89.325722,170,3,13.076923,265,479,23.76923,392,0
0,92,0,0,0,1,0,0,0,1,0,0,0,0,0,0
8,126,0,0,0,20,0,0,0,2,0,0,0,0,0,0
3,70,0,0,0,5,0,0,0,2,0,0,0,0,0,0
3,96,0,0,0,4,0,0,0,3,0,0,0,0,0,0
6,91,0,271,5.111111,18,50,87.35424,42,3,2.333333,161,92,2.777778,110,0
2,212,1,6,0.037037,81,2,176.5,2,2,0.024691,5,3,0.024691,1,0
1,69,0,0,0,4,0,0,0,1,0,0,0,0,0,0
5,114,0,0,0,8,0,0,0,2,0,0,0,0,0,0
9,171,0,0,0,14,0,0,0,1,0,0,0,0,0,0
2,196,0,0,0,4,0,0,0,1,0,0,0,0,0,0
2,1,0,70,3.8,10,9,107.64286,29,7,2.9,56,38,0.9,14,0
1,23,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,219,0,4,2,2,3,95,1,1,0.5,1,4,1.5,3,0
4,197,0,113,1.148148,27,26,127.061951,16,5,0.592593,72,31,0.962963,41,0
0,197,0,35,2.444444,9,17,105.199997,5,2,0.555556,9,22,1.888889,26,0
3,69,0,0,0,4,0,0,0,2,0,0,0,0,0,0
4,75,0,49,7,5,34,45.632652,4,2,0.8,9,35,6.8,40,0
2,157,0,540,11,16,176,116.498146,139,5,8.6875,198,176,11,342,1
2,102,0,281,7.166667,12,85,86.22776,66,1,5.5,123,86,7.083334,158,1
4,116,0,0,0,11,0,0,0,2,0,0,0,0,0,1
8,47,0,0,0,25,0,0,0,3,0,0,0,0,0,0
12,120,0,0,0,34,0,0,0,3,0,0,0,0,0,1
8,163,0,0,0,13,0,0,0,2,0,0,0,0,0,0
6,116,0,0,0,15,0,0,0,2,0,0,0,0,0,1
3,44,0,0,0,15,0,0,0,1,0,0,0,0,0,0
54,32,0,1873,2.362069,116,142,139.597977,342,10,2.948276,1544,274,1.224138,329,2
2,24,0,0,0,8,0,0,0,1,0,0,0,0,0,0
19,19,0,518,2.368421,38,89,82.069496,171,6,4.5,549,90,2.342105,-31,1
5,2,0,20,0.555556,9,1,4.1,6,2,0.666667,22,5,0.111111,-2,0
5,163,0,0,0,8,0,0,0,2,0,0,0,0,0,0
9,162,0,0,0,12,0,0,0,2,0,0,0,0,0,0
11,153,0,243,10.615385,13,50,96.106995,88,4,6.769231,121,138,3.846154,122,1
9,116,0,0,0,19,0,0,0,3,0,0,0,0,0,0
8,24,0,0,0,16,0,0,0,3,0,0,0,0,0,0
3,49,0,0,0,7,0,0,0,1,0,0,0,0,0,0
5,56,0,24,2.142857,7,1,48.5,14,2,2,27,15,0.142857,-3,0
15,56,0,423,3.458333,24,74,34.044918,66,2,2.75,105,83,3.083333,318,0
8,126,0,0,0,18,0,0,0,3,0,0,0,0,0,0
4,212,0,13,0.115385,52,2,99.769234,19,3,0.365385,26,6,0.038462,-13,0
3,8,0,48,7.333334,6,32,24.416666,12,2,2,16,44,5.333334,32,0
4,71,0,25,1.857143,7,2,67.199997,222,3,31.714285,231,13,0.285714,-206,1
7,238,0,42,1.307692,13,8,144.285721,15,4,1.153846,50,17,0.615385,-8,0
12,132,0,0,0,43,0,0,0,3,0,0,0,0,0,1
5,24,0,0,0,13,0,0,0,2,0,0,0,0,0,0
4,49,0,0,0,7,0,0,0,1,0,0,0,0,0,0
3,49,0,0,0,4,0,0,0,1,0,0,0,0,0,0
9,24,0,0,0,29,0,0,0,3,0,0,0,0,0,0
1,171,0,24,7.666667,3,21,115.791664,2,2,0.666667,3,23,7,21,0
8,115,0,0,0,13,0,0,0,3,0,0,0,0,0,0
3,249,0,80,2.384615,13,11,160.350006,29,3,2.230769,76,31,0.846154,4,0
7,233,0,61,0.8,20,16,139.327866,27,2,1.35,38,16,0.8,23,0
2,239,0,27,3.125,8,20,50.814816,5,2,0.625,7,25,2.5,20,0
0,238,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,238,0,0,0,7,0,0,0,0,0,0,0,0,0,0
4,239,0,22,0.192308,26,3,143.090912,8,4,0.307692,24,5,0.115385,-2,0
1,18,0,537,12.15,20,243,18.467411,53,3,2.65,72,243,12.15,465,3
7,113,0,0,0,11,0,0,0,2,0,0,0,0,0,0
6,116,0,0,0,14,0,0,0,2,0,0,0,0,0,1
2,36,0,414,28.714285,7,201,33.004829,174,2,24.857143,182,201,28.714285,232,0
6,56,0,67,3,9,27,39.388062,17,2,1.888889,23,27,3,44,0
8,24,0,0,0,16,0,0,0,3,0,0,0,0,0,1
5,24,0,0,0,11,0,0,0,3,0,0,0,0,0,0
0,31,0,6,1.666667,3,5,28.666666,1,1,0.333333,1,5,1.666667,5,0
10,56,2,169,3.25,20,43,41.964497,50,2,2.5,90,65,2.15,79,1
16,47,0,0,0,32,0,0,0,3,0,0,0,0,0,2
41,52,3,0,0,90,0,0,0,4,0,0,0,0,0,3
10,128,0,0,0,23,0,0,0,2,0,0,0,0,0,4
3,72,0,41,3.714286,7,2,62.365852,30,1,4.285714,44,26,0.285714,-3,0
4,128,0,0,0,10,0,0,0,2,0,0,0,0,0,1
8,118,0,0,0,15,0,0,0,3,0,0,0,0,0,1
7,118,0,0,0,11,0,0,0,2,0,0,0,0,0,1
8,116,0,56,0.75,16,3,69.053574,18,2,1.125,66,12,0.1875,-10,1
0,30,0,7,1,4,4,17,3,1,0.75,3,4,1,4,0
9,24,0,0,0,31,0,0,0,4,0,0,0,0,0,1
11,53,0,0,0,21,0,0,0,3,0,0,0,0,0,2
6,5,0,0,0,11,0,0,0,2,0,0,0,0,0,0
16,53,0,0,0,37,0,0,0,3,0,0,0,0,0,0
5,132,0,0,0,8,0,0,0,1,0,0,0,0,0,0
4,56,0,26,3.333333,6,4,53.576923,17,2,2.833333,19,20,0.666667,7,0
1,71,0,0,0,5,0,0,0,1,0,0,0,0,0,0
5,102,0,0,0,8,0,0,0,2,0,0,0,0,0,0
7,113,3,0,0,15,0,0,0,2,0,0,0,0,0,0
18,21,5,0,0,56,0,0,0,5,0,0,0,0,0,0
13,56,0,172,2.473684,19,31,38.279068,77,2,4.052631,207,47,1.631579,-35,1
78,50,3,0,0,169,0,0,0,4,0,0,0,0,0,2
3,70,0,40,6.25,4,21,29.25,6,1,1.5,13,25,5.25,27,0
18,3,0,0,0,45,0,0,0,2,0,0,0,0,0,0
3,70,0,0,0,5,0,0,0,2,0,0,0,0,0,0
5,254,0,25,0.255814,43,10,146.759995,13,3,0.302326,22,11,0.232558,3,0
9,117,0,15,0.133333,15,2,64.666664,2,4,0.133333,10,2,0.133333,5,0
4,55,0,20,4.5,4,16,21.549999,2,2,0.5,4,18,4,16,0
3,76,0,28,1.428572,7,10,49.035713,13,3,1.857143,25,10,1.428572,3,0
0,140,0,0,0,1,0,0,0,1,0,0,0,0,0,0
