@relation 'data/final_8020_regression.csv-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R100-weka.filters.unsupervised.attribute.Remove-R115-weka.filters.unsupervised.attribute.Remove-R1-5,17-18,20,26-27,31-37,42,45-46,50-68,71,78-84,93,96-100,102,106,109,113'

@attribute postbugs numeric
@attribute metrics29 numeric
@attribute metrics28 numeric
@attribute metrics27 numeric
@attribute metrics26 numeric
@attribute metrics25 numeric
@attribute metrics24 numeric
@attribute metrics23 numeric
@attribute metrics22 numeric
@attribute metrics21 numeric
@attribute metrics20 numeric
@attribute metrics9 numeric
@attribute metrics8 numeric
@attribute metrics7 numeric
@attribute metrics6 numeric
@attribute metrics5 numeric
@attribute metrics4 numeric
@attribute metrics3 numeric
@attribute metrics2 numeric
@attribute metrics1 numeric
@attribute metrics19 numeric
@attribute metrics18 numeric
@attribute metrics16 numeric
@attribute metrics15 numeric
@attribute metrics14 numeric
@attribute metrics13 numeric
@attribute metrics12 numeric
@attribute metrics11 numeric
@attribute metrics10 numeric
@attribute metrics57 numeric
@attribute metrics56 numeric
@attribute metrics55 numeric
@attribute metrics54 numeric
@attribute metrics53 numeric
@attribute metrics52 numeric
@attribute metrics51 numeric
@attribute metrics50 numeric
@attribute metrics49 numeric
@attribute metrics48 numeric
@attribute metrics47 numeric
@attribute metrics46 numeric
@attribute metrics45 numeric
@attribute metrics44 numeric
@attribute metrics43 numeric
@attribute metrics42 numeric
@attribute metrics41 numeric
@attribute metrics40 numeric
@attribute metrics39 numeric
@attribute metrics38 numeric
@attribute metrics37 numeric
@attribute metrics36 numeric
@attribute metrics35 numeric
@attribute metrics34 numeric
@attribute metrics33 numeric
@attribute metrics32 numeric
@attribute metrics31 numeric
@attribute metrics30 numeric

@data
0,7,3,1,1,10,6,8,0,104,517,10,1,11,0,0,0,0,0,0,5,5,52.7047,47.1458,0.149519,123,0,11,2,0,0,1,0,1,2,0,6,4,3,4,1,5,9,3,2,1,0,1,0,1,3,0,2,7,5,1,0
0,29,8,4,3,59,10,38,97,104,517,15,0,0,1.95078,3.16667,3,14,1,5,6,13,2.46906,97.2816,0.249369,677,0,18,2,9,2,0,0,0,7,8,12,2,11,8,4,6,36,14,15,10,0,0,0,1,1,0,1,28,1,0,0
0,29,8,4,3,59,10,38,275,275,0,15,0,0,2.93529,2.82353,6,32,2,14,6,13,2.46906,97.2816,0.249369,677,0,18,2,9,2,0,0,0,7,8,12,2,11,8,4,6,36,14,15,10,0,0,0,1,1,0,1,28,1,0,0
0,29,8,4,3,59,10,38,269,537,1074,15,0,0,0.471405,3.33333,3,5,1,2,6,13,2.46906,97.2816,0.249369,677,0,18,2,9,2,0,0,0,7,8,12,2,11,8,4,6,36,14,15,10,0,0,0,1,1,0,1,28,1,0,0
0,29,8,4,3,59,10,38,139,276,1096,15,0,0,0.816497,2,2,4,1,2,6,13,2.46906,97.2816,0.249369,677,0,18,2,9,2,0,0,0,7,8,12,2,11,8,4,6,36,14,15,10,0,0,0,1,1,0,1,28,1,0,0
0,10,0,1,1,19,5,12,569214,569214,0,6,8,23,0,1,0,2,0,1,4,2,20.3428,79.4924,0.164808,184,10,5,1,0,0,0,1,1,5,2,2,2,5,1,1,4,9,5,4,3,0,0,0,2,1,0,0,10,1,0,0
0,29,8,4,3,59,10,38,0,0,0,15,0,0,3.7362,5.42857,3,14,1,6,6,13,2.46906,97.2816,0.249369,677,0,18,2,9,2,0,0,0,7,8,12,2,11,8,4,6,36,14,15,10,0,0,0,1,1,0,1,28,1,0,0
0,29,8,4,3,59,10,38,256,477,367,15,0,0,3.6703,3.72727,3,9,2,7,6,13,2.46906,97.2816,0.249369,677,0,18,2,9,2,0,0,0,7,8,12,2,11,8,4,6,36,14,15,10,0,0,0,1,1,0,1,28,1,0,0
0,29,8,4,3,59,10,38,8,9,142,15,0,0,1.24722,3.33333,1,4,1,2,6,13,2.46906,97.2816,0.249369,677,0,18,2,9,2,0,0,0,7,8,12,2,11,8,4,6,36,14,15,10,0,0,0,1,1,0,1,28,1,0,0
0,110,34,15,16,190,19,32,0,0,0,118,0,0,0,1,0,2,0,1,2,13,0.079947,91.7666,8.15344,2474,6,114,8,0,3,5,4,6,32,19,28,34,35,16,17,45,144,31,22,57,0,0,0,17,0,1,1,110,1,1,0
