@relation data/final_8020_cvs_based_labeling.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute metrics29 numeric
@attribute metrics28 numeric
@attribute metrics27 numeric
@attribute metrics26 numeric
@attribute metrics25 numeric
@attribute metrics24 numeric
@attribute metrics23 numeric
@attribute metrics22 numeric
@attribute metrics21 numeric
@attribute metrics20 numeric
@attribute AvgLineComment numeric
@attribute LOC_ADDED numeric
@attribute metrics9 numeric
@attribute CountStmtDecl numeric
@attribute metrics8 numeric
@attribute metrics7 numeric
@attribute metrics6 numeric
@attribute metrics5 numeric
@attribute metrics4 numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute metrics3 numeric
@attribute metrics2 numeric
@attribute metrics1 numeric
@attribute MAX_CODECHURN numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute WEIGHTD_AGE numeric
@attribute MaxCyclomaticModified numeric
@attribute metrics19 numeric
@attribute metrics18 numeric
@attribute metrics16 numeric
@attribute metrics15 numeric
@attribute CntDeclMethodDefault numeric
@attribute metrics14 numeric
@attribute metrics13 numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute metrics12 numeric
@attribute metrics11 numeric
@attribute metrics10 numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute metrics57 numeric
@attribute metrics56 numeric
@attribute PcntLackOfCohesion numeric
@attribute metrics55 numeric
@attribute metrics54 numeric
@attribute metrics53 numeric
@attribute metrics52 numeric
@attribute metrics51 numeric
@attribute metrics50 numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute AVE_CODECHURN numeric
@attribute metrics49 numeric
@attribute metrics48 numeric
@attribute metrics47 numeric
@attribute metrics46 numeric
@attribute metrics45 numeric
@attribute metrics44 numeric
@attribute metrics43 numeric
@attribute metrics42 numeric
@attribute CODECHURN numeric
@attribute metrics41 numeric
@attribute metrics40 numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute metrics39 numeric
@attribute SumCyclomaticStrict numeric
@attribute metrics38 numeric
@attribute metrics37 numeric
@attribute metrics36 numeric
@attribute AvgCyclomatic numeric
@attribute metrics35 numeric
@attribute metrics34 numeric
@attribute REFACTORINGS numeric
@attribute metrics33 numeric
@attribute metrics32 numeric
@attribute metrics31 numeric
@attribute CountSemicolon numeric
@attribute metrics30 numeric
@attribute class {buggy,clean}

@data
7,24,32,0,70,7,3,1,1,10,6,8,0,104,517,0.99,1,10,49,1,11,0,0,0,0.5,2,0,0,0,0,0,44,9,11,70,9,5,5,52.7047,47.1458,0,0.149519,123,77,7,0,11,2,54,0.38,137,38,1,1,4,62,24,1,30,0.5,1,1,2,6,9,1,14,0,0,22.4,1,0,1,2,0,6,9,2,10.62,0.28,9.44,9,0,4,3,4,1,5,9,3,2,0,1,0,81,11,5,2,194,1,24,0,1,3,2,0,2,0,7,5,1,60,0,clean
1,7,12,3,91,29,8,4,3,59,10,38,97,104,517,0,31,15,18,0,0,1.95078,3.16667,3,2.714286,7,14,1,5,11,0,4,3,4,86.838707,2,6,13,2.46906,97.2816,0,0.249369,677,17,1,0,18,2,13,0,38,43,8,3,1,18,7,0,8,1.142857,19,19,1,1,2,1,4,9,2,62,0,0,0,7,8,12,3,2,6,1.13,6,3,1.571429,2,11,8,4,6,36,14,15,12,10,0,30,4,1,1,89,0,9,0,1,1,1,0,1,0,28,1,0,22,0,clean
5,15,34,2,96,29,8,4,3,59,10,38,275,275,0,0.4,427,15,33,0,0,2.93529,2.82353,6,10.941176,17,32,2,14,186,0,9,6,8,94.763466,6,6,13,2.46906,97.2816,1,0.249369,677,47,1,0,18,2,42,0,87,19,95,3,0,31,15,0,9,5.588235,125,186,1,4,6,1,8,9,2,5.33,0,0,0,7,8,12,7,2,11.4,0.22,11,8,10.941176,2,11,8,4,6,36,14,15,302,10,0,67,8,3,1,115,0,16,0,1,1,1,0,1,0,28,1,0,51,0,clean
1,23,39,4,91,29,8,4,3,59,10,38,269,537,1074,1,57,15,47,0,0,0.471405,3.33333,3,2.222222,9,5,1,2,20,0,4,3,3,84.368423,5,6,13,2.46906,97.2816,0,0.249369,677,16,4,0,18,2,43,0,112,119,11,3,0,48,23,0,27,1.222222,22,20,0,2,5,1,15,9,2,33,0,0,0,7,8,12,5,1,9,1.06,8,3,2.222222,2,11,8,4,6,36,14,15,35,10,0,86,15,2,1,257,0,23,0,1,1,1,0,1,0,28,1,0,65,0,clean
2,30,54,6,91,29,8,4,3,59,10,38,139,276,1096,0,91,15,49,0,0,0.816497,2,2,1.727273,11,4,1,2,14,0,3,9,12,87.384613,11,6,13,2.46906,97.2816,2,0.249369,677,25,5,0,18,2,62,0,147,86,120,3,1,55,30,0,18,10.909091,177,19,1,1,11,1,22,9,2,63,0,0,0,7,8,12,11,2,10,0.59,10,12,1.272727,2,11,8,4,6,36,14,15,-86,10,0,103,12,1,2,241,0,34,0,1,1,2,0,1,0,28,1,0,74,0,clean
1,652,736,20,18,10,0,1,1,19,5,12,569214,569214,0,0,935,6,415,8,23,0,1,0,1.204969,161,2,0,1,127,0,1,1,1,77.765778,111,4,2,20.3428,79.4924,0,0.164808,184,43,0,10,5,1,937,0,1589,422,194,6,1,393,710,0,173,1.204969,584,194,0,4,115,4,468,0,0,100,0,1,1,5,2,2,143,8,3,0.27,3,1,0.78882,2,5,1,1,4,9,5,4,351,3,0,1151,56,3,6,2065,0,845,0,2,1,6,0,0,0,10,1,0,832,0,buggy
1,37,69,2,96,29,8,4,3,59,10,38,0,0,0,0,458,15,61,0,0,3.7362,5.42857,3,9.285714,21,14,1,6,195,0,11,13,16,95.037117,13,6,13,2.46906,97.2816,2,0.249369,677,29,9,0,18,2,80,0,176,21,11,2,3,60,37,0,22,0.52381,51,195,1,2,13,1,19,9,2,87,0,0,0,7,8,12,13,2,9,0.12,9,16,9.285714,2,11,8,4,6,36,14,15,407,10,0,130,16,1,2,211,0,38,0,1,1,2,0,1,0,28,1,0,98,0,clean
9,166,311,6,91,29,8,4,3,59,10,38,256,477,367,0,657,15,227,0,0,3.6703,3.72727,3,36.846153,13,9,2,7,309,15,35,44,65,89.325722,16,6,13,2.46906,97.2816,5,0.249369,677,156,34,0,18,2,340,0,739,308,170,3,5,223,172,0,75,13.076923,265,479,1,9,16,1,93,9,2,49.57,0,0,0,7,8,12,17,2,9.04,0.42,8.6,64,23.76923,2,11,8,4,6,36,14,15,392,10,0,538,65,7,2,1113,0,190,0,1,1,2,0,1,0,28,1,0,374,0,clean
2,9,3,0,92,29,8,4,3,59,10,38,8,9,142,0,0,15,16,0,0,1.24722,3.33333,1,0,1,4,1,2,0,0,1,9,9,0,1,6,13,2.46906,97.2816,0,0.249369,677,22,0,0,18,2,3,0,29,42,0,1,0,16,9,0,12,0,0,0,0,1,1,1,9,9,2,0,0,0,0,7,8,12,1,1,2,1.45,2,9,0,2,11,8,4,6,36,14,15,0,10,0,19,9,1,1,83,0,9,0,1,1,1,0,1,0,28,1,0,9,0,clean
2,20,30,8,126,110,34,15,16,190,19,32,0,0,0,0,0,118,43,0,0,0,1,0,0,20,2,0,1,0,0,13,5,6,0,12,2,13,0.079947,91.7666,0,8.15344,2474,75,1,6,114,8,34,0,94,13,0,2,0,43,20,0,15,0,0,0,1,2,12,1,6,0,3,66,5,4,6,32,19,28,12,3,11,0.14,10,6,0,34,35,16,17,45,144,31,22,0,57,0,73,6,1,3,122,0,20,0,17,0,3,1,1,0,110,1,1,53,0,buggy
1,11,20,3,70,74,63,23,25,231,7,13,0,6924630,0,0,0,160,30,0,0,0,0,0,0,5,0,0,0,0,2,13,2,4,0,8,2,23,0.142778,98.949,0,0.908253,2573,17,4,10,30,4,24,1,68,17,0,2,0,32,11,0,17,0,0,0,0,2,8,1,4,0,2,68,5,4,6,13,18,17,8,2,12,0.25,11,4,0,28,14,10,18,34,190,41,35,0,76,0,50,4,1,2,102,0,11,0,17,0,2,0,0,0,76,0,2,38,0,clean
1,1,1,3,96,74,63,23,25,231,7,13,6924630,6924630,0,0,0,160,5,0,0,3.10996,3.125,2,0,4,3,0,2,0,0,2,1,1,0,1,2,23,0.142778,98.949,0,0.908253,2573,14,0,10,30,4,1,0,8,17,0,3,0,5,1,1,5,0,0,0,0,1,1,1,1,0,2,0,5,4,6,13,18,17,1,1,3,2.13,3,1,0,28,14,10,18,34,190,41,35,0,76,0,6,1,1,1,30,0,1,0,17,0,1,0,0,0,76,0,2,4,0,clean
3,49,117,6,91,29,8,4,3,59,10,38,527895,1055729,8445979,0.53,271,15,107,0,0,0.894427,2,3,5.111111,18,7,1,4,50,0,19,8,14,87.35424,9,6,13,2.46906,97.2816,1,0.249369,677,40,11,0,18,2,122,0,275,112,42,3,1,102,49,0,31,2.333333,161,92,5,3,9,1,18,9,2,63,0,0,0,7,8,12,9,3,15.98,0.41,14.98,13,2.777778,2,11,8,4,6,36,14,15,110,10,0,224,14,2,3,410,0,50,0,1,1,3,0,1,0,28,1,0,180,0,clean
2,53,79,2,212,31,13,4,4,36,5,11,5995,43391,0,0,6,25,73,12,41,1.67838,2.52273,2,0.037037,81,2,3,4,2,0,3,2,2,176.5,7,0,3,0.038594,99.9608,0,0.000609,315,15,0,7,251,5,81,0,190,110,2,2,0,66,53,0,37,0.024691,5,3,0,1,7,1,41,8,2,0,1,1,0,8,8,9,7,2,4,0.58,4,2,0.024691,8,15,2,2,15,22,11,11,1,13,0,152,29,2,1,336,1,58,0,3,0,1,0,3,0,30,1,2,105,0,clean
1,1,4,1,69,74,63,23,25,231,7,13,0,255505,0,0,0,160,10,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,1,2,23,0.142778,98.949,0,0.908253,1287,14,0,10,15,4,4,0,16,17,0,1,5,10,1,0,10,0,0,0,0,1,1,1,1,0,2,19,5,4,6,13,18,17,1,1,6,1.06,6,0,0,28,14,10,18,34,190,41,35,0,76,0,14,1,1,1,43,0,1,0,17,0,1,0,0,0,76,0,2,12,0,clean
1,10,13,5,114,1,0,0,0,2,1,4,255505,255505,0,0,0,1,34,0,2,0,1,0,0,8,2,0,1,0,0,4,6,7,0,3,2,3,92.5,0,0,7.5,25,20,0,0,0,1,15,0,70,46,0,2,5,44,10,0,20,0,0,0,1,2,3,1,7,0,0,82,0,0,0,0,0,1,3,1,7,0.66,7,7,0,0,0,1,0,0,1,0,1,0,0,0,47,7,1,1,128,0,10,0,0,0,1,0,0,0,1,0,0,36,0,clean
1,1,3,9,171,23,1,2,0,16,6,7,971643,1943285,0,0,0,13,16,0,0,0.408248,1.75,1,0,14,2,1,2,0,0,2,1,1,0,1,3,11,0.020562,99.9788,0,0.000676,330,27,0,0,1848,12,3,2,21,13,0,1,0,16,1,0,7,0,0,0,0,4,1,1,1,9,1,0,0,0,0,6,3,8,1,1,11,0.62,9,1,0,5,7,5,3,8,7,5,3,0,4,0,19,1,1,1,41,0,1,0,1,0,1,0,2,0,20,0,0,17,0,clean
1,2,4,2,196,23,1,2,0,16,6,7,427589,3420598,6841164,0,0,13,11,0,0,3.62069,3.875,2,0,4,8,3,4,0,0,3,2,2,0,1,3,11,0.020562,99.9788,0,0.000676,330,15,1,0,1848,12,4,0,18,13,0,1,0,11,2,0,6,0,0,0,0,1,1,1,2,9,1,0,0,0,0,6,3,8,1,1,4,0.72,4,2,0,5,7,5,3,8,7,5,3,0,4,0,15,2,1,1,37,0,2,0,1,0,1,0,2,0,20,0,0,12,0,clean
3,49,35,2,1,54,0,0,0,125,3,60,4856272,4856272,4107471,2,70,8,51,254,233,0,1,0,3.8,10,2,0,1,9,0,9,8,9,107.64286,21,39,22,80.9595,7.3278,0,11.7127,1298,156,1,11,22,1,40,2,122,41,29,7,1,56,49,0,33,2.9,56,38,1,4,21,1,22,0,191,77,0,2,0,43,4,1,21,2,24,0.34,20,9,0.9,5,41,0,4,8,109,5,2,14,10,0,86,9,1,2,191,0,49,0,192,0,2,0,0,0,54,0,0,62,0,clean
1,4,9,1,23,54,0,0,0,125,3,60,0,145809,4107471,2,0,8,17,254,233,0,0,0,0,1,0,0,0,0,0,5,1,1,0,4,39,22,80.9595,7.3278,0,11.7127,1298,21,0,11,22,1,9,3,29,16,0,1,0,17,4,0,6,0,0,0,0,2,4,3,3,0,191,0,0,2,0,43,4,1,5,5,23,0.55,18,1,0,5,41,0,4,8,109,5,2,0,10,0,26,1,1,4,51,0,5,0,192,0,4,0,0,0,54,0,0,21,0,clean
1,1,10,0,219,0,3,0,0,0,2,3,0,0,0,0,4,2,6,0,6,3.44093,5.4,3,2,2,6,2,3,3,0,0,1,1,95,1,1,2,15.9501,84.0499,0,0,30,14,0,60,1,1,10,0,18,15,1,1,0,6,1,0,3,0.5,1,4,0,2,1,1,1,2,0,0,1,0,0,0,0,0,1,1,12,0.83,12,1,1.5,0,1,0,0,0,2,0,1,3,0,1,16,1,1,1,36,0,1,0,0,0,1,0,0,0,0,1,0,14,0,clean
7,15,50,4,197,22,3,2,0,23,4,10,0,0,97127,0,113,12,40,6,23,0,2,0,1.148148,27,2,0,1,26,0,10,8,8,127.061951,5,2,8,3.82686,36.0554,0,60.1177,300,60,7,0,3,1,57,0.6,104,15,16,5,0,37,15,0,23,0.592593,72,31,0,5,5,1,10,0,0,12.75,0,0,0,6,1,11,5,1,9.83,0.14,8.93,8,0.962963,5,5,7,2,9,17,7,2,41,2,0,90,8,4,1,142,0,15,0,0,1,1,0,0,0,22,0,0,74,1,clean
2,8,13,0,197,22,3,2,0,23,4,10,0,351124,97127,0,35,12,16,6,23,0,0,0,2.444444,9,2,0,0,17,0,3,6,6,105.199997,3,2,8,3.82686,36.0554,0,60.1177,300,38,2,0,3,1,13,0,36,13,5,2,1,16,8,0,12,0.555556,9,22,0,3,3,1,6,0,0,66,0,0,0,6,1,11,3,1,5,0.36,4,6,1.888889,5,5,7,2,9,17,7,2,26,2,0,29,6,1,1,58,0,8,0,0,1,1,0,0,0,22,0,0,20,1,clean
1,24,42,3,69,34,23,9,9,91,7,13,0,1447087,0,1,0,58,42,6,24,0,0,0,0,4,0,0,0,0,0,1,5,16,0,4,4,11,16.1003,80.7595,0,3.14021,1073,29,6,3,10.3333,2,45,0,111,45,0,2,0,42,24,0,32,0,0,0,11,1,4,1,16,0,1,84,2,1,3,7,8,10,4,1,8,0.41,6,16,0,12,8,6,7,16,74,15,12,0,31,0,84,16,1,1,188,0,25,0,7,1,1,1,2,0,33,2,1,59,0,clean
4,66,114,4,75,5,4,2,0,14,1,5,0,3218496,0,0,49,10,87,0,0,0,0,0,7,5,0,0,0,34,0,14,24,31,45.632652,10,5,16,99.3194,0.309281,0,0.371367,108,144,6,0,24,1,125,0,282,224,4,2,5,91,66,0,54,0.8,9,35,7,8,10,1,37,0,0,47,0,0,0,6,0,0,14,2,4.99,0.79,4.99,30,6.8,0,4,0,2,0,16,3,1,40,0,0,201,32,5,2,549,0,81,0,0,0,2,0,2,0,4,0,1,134,0,clean
3,13,53,2,157,128,1130,68,66,140,45,74,176653,353301,2524972,0,540,1265,43,0,0,4.2,4.4,2,11,16,2,2,2,176,0,7,7,8,116.498146,4,0,19,0.001628,99.9917,0,0.006649,6757,34,6,13,2849,142,53,0.56,106,12,139,5,0,41,13,0,22,8.6875,198,176,1,3,4,1,10,14,4,26,5,10,21,5,26,24,4,1,9.15,0.11,8.03,8,11,72,10,18,16,84,1272,25,24,342,83,0,96,8,2,1,139,0,13,0,40,0,1,0,2,1,125,0,0,83,0,buggy
9,100,129,2,102,18,796,83,82,58,7,16,351111,351124,97127,2.71,281,992,88,0,0,6.82502,4.544,2,7.166667,12,3,7,5,85,0,48,16,22,86.22776,10,1,1335,3.96523,91.7112,0,4.32362,4228,312,4,6,4,1,137,0,265,63,66,1,3,84,100,0,34,5.5,123,86,6,18,10,1,56,5,0,20.67,1,0,1,2,5,4,12,2,19.67,0.24,19.04,22,7.083334,6,3,2,5,8,1000,7,6,158,6,0,217,22,6,2,316,0,106,0,2,0,2,0,0,1,17,0,0,166,0,clean
1,18,33,4,116,152,8,1,2,109,14,15,1688617,1688603,0,2,0,109,32,39,111,0.117851,1.16667,2,0,11,2,1,1,0,1,9,2,4,0,8,7,18,20.2559,77.0599,0,2.68414,2213,28,0,5,1,1,37,2,91,27,0,2,0,35,18,0,16,0,0,0,1,2,8,4,17,75,0,0,0,1,0,58,11,57,8,4,22,0.3,18,2,0,35,64,67,4,26,75,8,24,0,11,0,65,4,1,4,133,1,19,0,2,1,4,5,4,1,149,7,0,45,0,clean
