*Note that there is no metrics 17,
,
NumSelectionEvent,metrics1
NumEditEvent,metrics2
NumManipulationEvent,metrics3
NumPropagationEvent,metrics4
AvgDOI,metrics5
VarDOI,metrics6
NumLowDOISel,metrics7
NumLowDOIEdit,metrics8
NumUniqueSelFiles,metrics9
NumMultiTasks,metrics10
TimeSpent,metrics11
PortionNonJavaEdit,metrics12
FileHierarchyDepth,metrics13
TimeSpentBeforeEdit,metrics14
TimeSpentOnEdits,metrics15
TimeSpentAfterEdit,metrics16
,
NumSelBeforeEdit,metrics18
NumSelAfterEdit,metrics19
AvgTimeIntervalEditEdit,metrics20
AvgTimeIntervalSelSel,metrics21
AvgTimeIntervalSelEdit,metrics22
RepeatedlySelectedFileNum,metrics23
RepeatedlyEditedFileNum,metrics24
NumPatternSXSX,metrics25
NumPatternSXSY,metrics26
NumPatternSYSX,metrics27
NumPatternSYSY,metrics28
NumPatternSXEX,metrics29
NumPatternSXEY,metrics30
NumPatternSYEX,metrics31
NumPatternSYEY,metrics32
NumPatternEXSX,metrics33
NumPatternEXSY,metrics34
NumPatternEYSX,metrics35
NumPatternEYSY,metrics36
NumPatternEXEX,metrics37
NumPatternEXEY,metrics38
NumPatternEYEX,metrics39
NumPatternEYEY,metrics40
NumPatternSLSL,metrics41
NumPatternSLSH,metrics42
NumPatternSHSL,metrics43
NumPatternSHSH,metrics44
NumPatternSLEL,metrics45
NumPatternSLEH,metrics46
NumPatternSHEL,metrics47
NumPatternSHEH,metrics48
NumPatternELSL,metrics49
NumPatternELSH,metrics50
NumPatternEHSL,metrics51
NumPatternEHSH,metrics52
NumPatternELEL,metrics53
NumPatternELEH,metrics54
NumPatternEHEL,metrics55
NumPatternEHEH,metrics56
NumUniqueEdit,metrics57
